catch_terms,recode_column,organization_name,branch,agency,level_above,us_office_type,domains,abbreviation,country,gov_contractor,us_fed_stats,us_national_lab,source,city,state,github
federal permitting improvement steering council,federal permitting improvement steering council,Federal Permitting Improvement Steering Council,US Executive Branch,Independent Agency|US General Services Administration,,,fpisc.gov,fpisc,United States,,,,,,,
federal supply service,federal supply service,Federal Supply Service,US Executive Branch,Independent Agency|US General Services Administration,,,computersforlearning.gov,,United States,,,,,,,
firstgov.gov,firstgov.gov,FirstGov.gov,US Executive Branch,Independent Agency|US General Services Administration,,,gobiernousa.gov,,United States,,,,,,,
gsa - office of citizen services innovative technologies - oscit,gsa - office of citizen services innovative technologies - oscit,GSA - Office of Citizen Services Innovative Technologies - OSCIT,US Executive Branch,Independent Agency|US General Services Administration,,,performance.gov,,United States,,,,,,,
gsa - ogp - iae,gsa - ogp - iae,GSA - OGP - IAE,US Executive Branch,Independent Agency|US General Services Administration,,,ppirs.gov,,United States,,,,,,,
gsa acquisition systems division,gsa acquisition systems division,GSA Acquisition Systems Division,US Executive Branch,Independent Agency|US General Services Administration,,,fsrs.gov,,United States,,,,,,,
gsa office of acquisition systems,gsa office of acquisition systems,GSA Office of Acquisition Systems,US Executive Branch,Independent Agency|US General Services Administration,,,contractdirectory.gov,,United States,,,,,,,
gsa office of government-wide policy,gsa office of government-wide policy,GSA Office of Government-wide Policy,US Executive Branch,Independent Agency|US General Services Administration,,,reporting.gov,,United States,,,,,,,
gsa tts,gsa tts,GSA TTS,US Executive Branch,Independent Agency|US General Services Administration,,,plainlanguage.gov,,United States,,,,,,,
gsa-interagency management division,gsa-interagency management division,GSA-Interagency Management Division,US Executive Branch,Independent Agency|US General Services Administration,,,cao.gov,,United States,,,,,,,
"gsa, office of governmentwide policy","gsa, office of governmentwide policy","GSA, Office of Governmentwide Policy",US Executive Branch,Independent Agency|US General Services Administration,,,fpki-lab.gov|fpki.gov,,United States,,,,,,,
"gsa, office of information technology category","gsa, office of information technology category","GSA, Office of Information Technology Category (ITC)",US Executive Branch,Independent Agency|US General Services Administration,,,pki.gov|pki-lab.gov,,United States,,,,,,,
"gsa, ogp, office of federal high-performance green buildings","gsa, ogp, office of federal high-performance green buildings","GSA, OGP, Office of Federal High-Performance Green Buildings",US Executive Branch,Independent Agency|US General Services Administration,,,sftool.gov,,United States,,,,,,,
gsa/cao/oas,gsa/cao/oas,GSA/CAO/OAS,US Executive Branch,Independent Agency|US General Services Administration,,,fbo.gov,,United States,,,,,,,
gsa/fas,gsa/fas,GSA/FAS,US Executive Branch,Independent Agency|US General Services Administration,,,fedidcard.gov,,United States,,,,,,,
gsa/ocao/oas,gsa/ocao/oas,GSA/OCAO/OAS,US Executive Branch,Independent Agency|US General Services Administration,,,fedbizopps.gov,,United States,,,,,,,
gsa/ogp,gsa/ogp,GSA/OGP,US Executive Branch,Independent Agency|US General Services Administration,,,fmi.gov,,United States,,,,,,,
iae - federal procurement data center,iae - federal procurement data center,IAE - Federal Procurement Data Center,US Executive Branch,Independent Agency|US General Services Administration,,,fpds.gov,,United States,,,,,,,
integrated acquisition environment,integrated acquisition environment,Integrated Acquisition Environment,US Executive Branch,Independent Agency|US General Services Administration,,,acquisition.gov,,United States,,,,,,,
office of acquisition systems,office of acquisition systems,Office Of Acquisition Systems,US Executive Branch,Independent Agency|US General Services Administration,,,esrs.gov,,United States,,,,,,,
office of citizen services,office of citizen services,Office of Citizen Services,US Executive Branch,Independent Agency|US General Services Administration,,,challenge.gov,,United States,,,,,,,
office of citizen services and communications,office of citizen services and communications,Office of Citizen Services and Communications,US Executive Branch,Independent Agency|US General Services Administration,,,firstgov.gov|us.gov|usa.gov|usagov.gov,,United States,,,,,,,
office of citizen services and innovative technologies,office of citizen services and innovative technologies,Office of Citizen Services and Innovative Technologies,US Executive Branch,Independent Agency|US General Services Administration,,,businessusa.gov|digitalgov.gov|fedramp.gov,,United States,,,,,,,
"office of citizen services and innovative technologies, gsa","office of citizen services and innovative technologies, gsa","Office of Citizen Services and Innovative Technologies, GSA",US Executive Branch,Independent Agency|US General Services Administration,,,vote.gov,,United States,,,,,,,
"office of evaluation sciences, office of governmentwide policy","office of evaluation sciences, office of governmentwide policy","Office of Evaluation Sciences, Office of Governmentwide Policy",US Executive Branch,Independent Agency|US General Services Administration,,,sbst.gov,,United States,,,,,,,
office of real property utilization and disposal,office of real property utilization and disposal,Office of Real Property Utilization and Disposal (PBS),US Executive Branch,Independent Agency|US General Services Administration,,,realestatesales.gov,,United States,,,,,,,
"office of the chief acquisition officer, office of acquisition systems","office of the chief acquisition officer, office of acquisition systems","Office of the Chief Acquisition Officer, Office of Acquisition Systems",US Executive Branch,Independent Agency|US General Services Administration,,,fsd.gov,,United States,,,,,,,
