academic_terms,original_string,new_string,domains,country,as_of,
universidad de palermo,universidad de palermo,universidad de palermo,palermo.edu.ar,Argentina,2021-08-24,
universidad de san andres argentina,universidad de san andres argentina,universidad de san andres argentina,udesa.edu.ar,Argentina,2021-08-24,
universidad del aconcagua,universidad del aconcagua,universidad del aconcagua,uda.edu.ar,Argentina,2021-08-24,
universidad del centro educativo latinoamericano rosario,universidad del centro educativo latinoamericano rosario,universidad del centro educativo latinoamericano rosario,ucel.edu.ar,Argentina,2021-08-24,
universidad del cine buenos aires,universidad del cine buenos aires,universidad del cine buenos aires,ucine.edu.ar,Argentina,2021-08-24,
universidad del museo social argentino,universidad del museo social argentino,universidad del museo social argentino,umsa.edu.ar,Argentina,2021-08-24,
universidad del norte santo tomás de aquino,universidad del norte santo tomás de aquino,universidad del norte santo tomás de aquino,unsta.edu.ar,Argentina,2021-08-24,
universidad del salvador,universidad del salvador,universidad del salvador,salvador.edu.ar,Argentina,2021-08-24,
universidad empresarial siglio 21,universidad empresarial siglio 21,universidad empresarial siglio 21,uesiglo21.edu.ar,Argentina,2021-08-24,
universidad maimónides,universidad maimónides,universidad maimónides,maimonides.edu.ar,Argentina,2021-08-24,
universidad nacional de catamarca,universidad nacional de catamarca,universidad nacional de catamarca,unca.edu.ar,Argentina,2021-08-24,
universidad nacional de córdoba,universidad nacional de córdoba,universidad nacional de córdoba,unc.edu.ar,Argentina,2021-08-24,
universidad nacional de cuyo,universidad nacional de cuyo,universidad nacional de cuyo,uncu.edu.ar,Argentina,2021-08-24,
universidad nacional de entre ríos,universidad nacional de entre ríos,universidad nacional de entre ríos,uner.edu.ar,Argentina,2021-08-24,
universidad nacional de formosa,universidad nacional de formosa,universidad nacional de formosa,unf.edu.ar,Argentina,2021-08-24,
universidad nacional de general san martín,universidad nacional de general san martín,universidad nacional de general san martín,unsam.edu.ar,Argentina,2021-08-24,
universidad nacional de general sarmiento,universidad nacional de general sarmiento,universidad nacional de general sarmiento,ungs.edu.ar,Argentina,2021-08-24,
universidad nacional de jujuy,universidad nacional de jujuy,universidad nacional de jujuy,unju.edu.ar,Argentina,2021-08-24,
universidad nacional de la matanza,universidad nacional de la matanza,universidad nacional de la matanza,unlam.edu.ar,Argentina,2021-08-24,
universidad nacional de la pampa,universidad nacional de la pampa,universidad nacional de la pampa,unlpam.edu.ar,Argentina,2021-08-24,
universidad nacional de la patagonia san juan bosco,universidad nacional de la patagonia san juan bosco,universidad nacional de la patagonia san juan bosco,unp.edu.ar,Argentina,2021-08-24,
universidad nacional de la patagonia austral,universidad nacional de la patagonia austral,universidad nacional de la patagonia austral,unpa.edu.ar,Argentina,2021-08-24,
universidad nacional de la plata,universidad nacional de la plata,universidad nacional de la plata,unlp.edu.ar,Argentina,2021-08-24,
universidad nacional de la rioja,universidad nacional de la rioja,universidad nacional de la rioja,unlar.edu.ar,Argentina,2021-08-24,
universidad nacional de lanus,universidad nacional de lanus,universidad nacional de lanus,unla.edu.ar,Argentina,2021-08-24,
universidad nacional de lomas de zamora,universidad nacional de lomas de zamora,universidad nacional de lomas de zamora,unlz.edu.ar,Argentina,2021-08-24,
universidad nacional de luján,universidad nacional de luján,universidad nacional de luján,unlu.edu.ar,Argentina,2021-08-24,
universidad nacional de mar del plata,universidad nacional de mar del plata,universidad nacional de mar del plata,mdp.edu.ar,Argentina,2021-08-24,
