academic_terms,original_string,new_string,domains,country,as_of,
shiraz university,shiraz university,shiraz university,shirazu.ac.ir,Iran,2021-08-24,
shiraz university of medical sciences,shiraz university of medical sciences,shiraz university of medical sciences,sums.ac.ir,Iran,2021-08-24,
shiraz university of technology,shiraz university of technology,shiraz university of technology,sutech.ac.ir,Iran,2021-08-24,
shomal university,shomal university,shomal university,shomal.ac.ir,Iran,2021-08-24,
sistan and balouchestan university,sistan and balouchestan university,sistan and balouchestan university,usb.ac.ir,Iran,2021-08-24,
tabari institute of higher education,tabari institute of higher education,tabari institute of higher education,tabari.ac.ir,Iran,2021-08-24,
tabriz college of technology,tabriz college of technology,tabriz college of technology,tct.ac.ir,Iran,2021-08-24,
tabriz islamic art university,tabriz islamic art university,tabriz islamic art university,tabriziau.ac.ir,Iran,2021-08-24,
tabriz university,tabriz university,tabriz university,tabrizu.ac.ir,Iran,2021-08-24,
tabriz university of medical sciences,tabriz university of medical sciences,tabriz university of medical sciences,tbzmed.ac.ir,Iran,2021-08-24,
takestan islamic azad university,takestan islamic azad university,takestan islamic azad university,tiau.ac.ir,Iran,2021-08-24,
tarbiat modares university,tarbiat modares university,tarbiat modares university,modares.ac.ir,Iran,2021-08-24,
tehran university of medical sciences,tehran university of medical sciences,tehran university of medical sciences,tums.ac.ir,Iran,2021-08-24,
tehran university of teacher training,tehran university of teacher training,tehran university of teacher training,tmu.ac.ir,Iran,2021-08-24,
the bahá'í institute for higher education,the bahá'í institute for higher education,the bahá'í institute for higher education (bihe),bihe.org,Iran,2021-08-24,
torbat heydarieh university of medical sciences,torbat heydarieh university of medical sciences,torbat heydarieh university of medical sciences,thums.ac.ir,Iran,2021-08-24,
university college of nabi akram,university college of nabi akram,university college of nabi akram,ucna.info,Iran,2021-08-24,
university of applied science and technology,university of applied science and technology,university of applied science and technology,uast.ac.ir,Iran,2021-08-24,
university of hormozgan,university of hormozgan,university of hormozgan,hormozgan.ac.ir,Iran,2021-08-24,
university of kurdistan,university of kurdistan,university of kurdistan,uok.ac.ir,Iran,2021-08-24,
university of lavasanat pnu,university of lavasanat pnu,university of lavasanat pnu,lavasanpnu.ac.ir,Iran,2021-08-24,
university of mashhad pnu,university of mashhad pnu,university of mashhad pnu,pnum.ac.ir,Iran,2021-08-24,
university of mohaghegh,university of mohaghegh,university of mohaghegh,uma.ac.ir,Iran,2021-08-24,
university of science and culture,university of science and culture,university of science and culture,usc.ac.ir,Iran,2021-08-24,
university of social welfare and rehabilitation scinences,university of social welfare and rehabilitation scinences,university of social welfare and rehabilitation scinences,uswr.ac.ir,Iran,2021-08-24,
university of tehran,university of tehran,university of tehran,ut.ac.ir,Iran,2021-08-24,
urmia university,urmia university,urmia university,urmia.ac.ir,Iran,2021-08-24,
urmia university of medical sciences,urmia university of medical sciences,urmia university of medical sciences,umsu.ac.ir,Iran,2021-08-24,
urmia university of technology,urmia university of technology,urmia university of technology,uut.ac.ir,Iran,2021-08-24,
vali e asr university,vali e asr university,vali-e-asr university,vru.ac.ir,Iran,2021-08-24,
yasuj university,yasuj university,yasuj university,yu.ac.ir,Iran,2021-08-24,
yasuj university of medical sciences,yasuj university of medical sciences,yasuj university of medical sciences,yums.ac.ir,Iran,2021-08-24,
yazd medical university,yazd medical university,yazd medical university,ssu.ac.ir,Iran,2021-08-24,
yazd university,yazd university,yazd university,yazduni.ac.ir,Iran,2021-08-24,
zabol university,zabol university,zabol university,uoz.ac.ir,Iran,2021-08-24,
zahedan university of medical sciences,zahedan university of medical sciences,zahedan university of medical sciences,zdmu.ac.ir,Iran,2021-08-24,
zanjan institute for advanced studies in basic sciences,zanjan institute for advanced studies in basic sciences,zanjan institute for advanced studies in basic sciences,iasbs.ac.ir,Iran,2021-08-24,
zanjan university,zanjan university,zanjan university,znu.ac.ir,Iran,2021-08-24,
zanjan university of medical sciences,zanjan university of medical sciences,zanjan university of medical sciences,zums.ac.ir,Iran,2021-08-24,
ahlulbait international university,ahlulbait international university,ahlulbait international university,ahlulbaitonline.com,Iraq,2021-08-24,
al maarif university college,al maarif university college,al maarif university college,auc-edu.org,Iraq,2021-08-24,
al mamon university college,al mamon university college,al mamon university college,almamonuc.org,Iraq,2021-08-24,
al mansour university college,al mansour university college,al mansour university college,muc.edu.iq,Iraq,2021-08-24,
al muthanna university,al muthanna university,al muthanna university,uoalmuthana.edu.iq,Iraq,2021-08-24,
al nahrain university,al nahrain university,al nahrain university,nahrainuniv.edu.iq,Iraq,2021-08-24,
al rafidain university college,al rafidain university college,al rafidain university college,coalrafidain.edu.iq,Iraq,2021-08-24,
al rasheed university college,al rasheed university college,al rasheed university college,alrasheed-uc.com,Iraq,2021-08-24,
al turath university college,al turath university college,al turath university college,turathun.com,Iraq,2021-08-24,
al yarmouk university college,al yarmouk university college,al yarmouk university college,yu.edu.jo,Iraq,2021-08-24,
alsadrain university,alsadrain university,alsadrain university,alsadrain.org,Iraq,2021-08-24,
american university of iraq sulaimani,american university of iraq sulaimani,american university of iraq sulaimani,auis.edu.iq,Iraq,2021-08-24,
baghdad college of economic sciences university,baghdad college of economic sciences university,baghdad college of economic sciences university,baghdadcollege.edu.iq,Iraq,2021-08-24,
baghdad college of pharmacy,baghdad college of pharmacy,baghdad college of pharmacy,bpc.edu.iq,Iraq,2021-08-24,
british royal university,british royal university,british royal university,broyalu.net,Iraq,2021-08-24,
cihan university,cihan university,cihan university,cihanuniversity.edu.iq,Iraq,2021-08-24,
college of science baghdad university,college of science baghdad university,"college of science, baghdad university",scbaghdad.edu.iq,Iraq,2021-08-24,
dijla university college,dijla university college,dijla university college,duc.edu.iq,Iraq,2021-08-24,
diyala university,diyala university,diyala university,uodiyala.edu.iq,Iraq,2021-08-24,
hawler medical university,hawler medical university,hawler medical university,hawlermu.org,Iraq,2021-08-24,
iraq university college,iraq university college,iraq university college,iraquniversity.net,Iraq,2021-08-24,
ishik university,ishik university,ishik university,iu.edu.iq,Iraq,2021-08-24,
kerbala university,kerbala university,kerbala university,uokerbala.edu.iq,Iraq,2021-08-24,
komar university of science and technology,komar university of science and technology,komar university of science and technology,komar.edu.iq,Iraq,2021-08-24,
koya university,koya university,koya university,koyauniversity.org,Iraq,2021-08-24,
madenat alelem university college,madenat alelem university college,madenat alelem university college,madenatalelem.com,Iraq,2021-08-24,
misan university,misan university,misan university,uomisan.edu.iq,Iraq,2021-08-24,
nawroz university,nawroz university,nawroz university,nawrozuniversity.com,Iraq,2021-08-24,
salahddin university,salahddin university,salahddin university,suh-edu.com,Iraq,2021-08-24,
soran university,soran university,soran university,soran.edu.iq,Iraq,2021-08-24,
thi qar university,thi qar university,thi qar university,thiqaruni.org,Iraq,2021-08-24,
tikrit university,tikrit university,tikrit university,tu.edu.iq,Iraq,2021-08-24,
uinversity of babylon,uinversity of babylon,uinversity of babylon,uobabylon.edu.iq,Iraq,2021-08-24,
university of al qadisiyah,university of al qadisiyah,university of al-qadisiyah,qadissuni.edu.iq,Iraq,2021-08-24,
university of anbar,university of anbar,university of anbar,uoanbar.edu.iq,Iraq,2021-08-24,
university of baghdad,university of baghdad,university of baghdad,uobaghdad.edu.iq,Iraq,2021-08-24,
university of basrah,university of basrah,university of basrah,uobasrah.edu.iq,Iraq,2021-08-24,
university of dohuk,university of dohuk,university of dohuk,uod.ac,Iraq,2021-08-24,
university of human development,university of human development,university of human development,uhd.edu.iq,Iraq,2021-08-24,
university of kirkuk,university of kirkuk,university of kirkuk,uokirkuk.edu.iq,Iraq,2021-08-24,
university of kufa,university of kufa,university of kufa,uokufa.edu.iq,Iraq,2021-08-24,
university of kurdistan hewlêr,university of kurdistan hewlêr,university of kurdistan hewlêr,ukh.ac,Iraq,2021-08-24,
university of mosul,university of mosul,university of mosul,uomosul.edu.iq,Iraq,2021-08-24,
university of mustansiriyah,university of mustansiriyah,university of mustansiriyah,uomustansiriyah.edu.iq,Iraq,2021-08-24,
university of sulaimania,university of sulaimania,university of sulaimania,univsul.org,Iraq,2021-08-24,
university of technology iraq,university of technology iraq,university of technology iraq,uotechnology.edu.iq,Iraq,2021-08-24,
university of wassit,university of wassit,university of wassit,uowasit.edu.iq,Iraq,2021-08-24,
athlone institute of technology,athlone institute of technology,athlone institute of technology,ait.ie,Ireland,2021-08-24,
carlow institute of technology,carlow institute of technology,carlow institute of technology,itcarlow.ie,Ireland,2021-08-24,
cork institute of technology,cork institute of technology,cork institute of technology,cit.ie,Ireland,2021-08-24,
dublin city university,dublin city university,dublin city university,dcu.ie,Ireland,2021-08-24,
dublin institute for advanced studies,dublin institute for advanced studies,dublin institute for advanced studies,dias.ie,Ireland,2021-08-24,
dublin institute of technology|technological university dublin,dublin institute of technology|technological university dublin,dublin institute of technology,dit.ie,Ireland,2021-08-24,
galway mayo institute of technology,galway mayo institute of technology,galway mayo institute of technology,gmit.ie,Ireland,2021-08-24,
griffith college,griffith college,griffith college,gcd.ie,Ireland,2021-08-24,
institue of technology tralee,institue of technology tralee,institue of technology tralee,ittralee.ie,Ireland,2021-08-24,
irish international university,irish international university,irish international university,iiuedu.ie,Ireland,2021-08-24,
lsb college,lsb college,lsb college,lsb.ie,Ireland,2021-08-24,
national college of ireland,national college of ireland,national college of ireland,ncirl.ie,Ireland,2021-08-24,
national university of ireland,national university of ireland(?! galway| maynooth),national university of ireland,nui.ie,Ireland,2021-08-24,
national university of ireland galway,national university of ireland galway,national university of ireland galway,ucg.ie,Ireland,2021-08-24,
national university of ireland maynooth|maynooth university,national university of ireland maynooth|maynooth university,maynooth university,may.ie,Ireland,2021-08-24,
royal college of physicians of ireland,royal college of physicians of ireland,royal college of physicians of ireland,rcpi.ie,Ireland,2021-08-24,
royal college of surgeons,royal college of surgeons,royal college of surgeons,rcsi.ie,Ireland,2021-08-24,
shannon college of hotel management,shannon college of hotel management,shannon college of hotel management,shannoncollege.com,Ireland,2021-08-24,
university college cork,university college cork,university college cork,ucc.ie,Ireland,2021-08-24,
university college dublin,university college dublin,university college dublin,ucd.ie,Ireland,2021-08-24,
university of dublin trinity college|trinity college dublin,university of dublin trinity college|trinity college dublin,university of dublin trinity college,tcd.ie,Ireland,2021-08-24,
university of limerick,university of limerick,university of limerick,ul.ie,Ireland,2021-08-24,
waterford institute of technology,waterford institute of technology,waterford institute of technology,wit.ie,Ireland,2021-08-24,
acdemic center for law and business,acdemic center for law and business,acdemic center for law and business,clb.ac.il,Israel,2021-08-24,
afeka tel aviv academic college of engineering,afeka tel aviv academic college of engineering,afeka tel aviv academic college of engineering,afeka.ac.il,Israel,2021-08-24,
ariel university center of samaria|ariel university,ariel university center of samaria|ariel university(?! [a-z]),ariel university center of samaria,ariel.ac.il|g.ariel.ac.il,Israel,2021-08-24,
ashkelon academic college,ashkelon academic college,ashkelon academic college,ash-college.ac.il,Israel,2021-08-24,
bar ilan university,bar ilan university,bar-ilan university,biu.ac.il,Israel,2021-08-24,
ben gurion university of the negev|ben gurion university,ben gurion university of the negev|ben gurion university(?! [a-z]),ben gurion university of the negev,bgu.ac.il,Israel,2021-08-24,
bezalel academy of art and design,bezalel academy of art and design,bezalel academy of art and design,bezalel.ac.il,Israel,2021-08-24,
college of management,college of management,college of management,colman.ac.il,Israel,2021-08-24,
emeq yizrael college,emeq yizrael college,emeq yizrael college,yvc.ac.il,Israel,2021-08-24,
galillee college,galillee college,galillee college,galilcol.ac.il,Israel,2021-08-24,
hebrew university of jerusalem,hebrew university of jerusalem,hebrew university of jerusalem,huji.ac.il,Israel,2021-08-24,
jct lev academic center,jct lev academic center,jct lev academic center,jct.ac.il,Israel,2021-08-24,
jerusalem university college,jerusalem university college,jerusalem university college,juc.edu,Israel,2021-08-24,
open university of israel,open university of israel,open university of israel,openu.ac.il,Israel,2021-08-24,
russell berrie nanotechnology institute,russell berrie nanotechnology institute,russell berrie nanotechnology institute,rbni.technion.ac.il,Israel,2021-08-24,
sami shamoon college of engineering,sami shamoon college of engineering,sami shamoon college of engineering,sce.ac.il,Israel,2021-08-24,
shenkar school of engineering and design,shenkar school of engineering and design,shenkar school of engineering and design,shenkar.ac.il,Israel,2021-08-24,
technion israel institute of technology,technion israel institute of technology,technion israel institute of technology,technion.ac.il,Israel,2021-08-24,
tel aviv university,tel aviv university,tel aviv university,tau.ac.il,Israel,2021-08-24,
the interdisciplinary center herzliya,the interdisciplinary center herzliya,the interdisciplinary center herzliya,idc.ac.il,Israel,2021-08-24,
university of haifa,university of haifa,university of haifa,haifa.ac.il,Israel,2021-08-24,
weizmann institute of science,weizmann institute of science,weizmann institute of science,weizmann.ac.il,Israel,2021-08-24,
western galilee college,western galilee college,western galilee college,wgalil.ac.il,Israel,2021-08-24,
abdus salam international centre for theoretical physics,abdus salam international centre for theoretical physics,abdus salam international centre for theoretical physics,ictp.trieste.it,Italy,2021-08-24,
basilicata university potenza,basilicata university potenza,basilicata university potenza,unibas.it,Italy,2021-08-24,
bocconi university,bocconi university,bocconi university,unibocconi.it,Italy,2021-08-24,
campus bio medico university of rome,campus bio medico university of rome,campus bio-medico university of rome,unicampus.it,Italy,2021-08-24,
catholic university of the sacred heart,catholic university of the sacred heart,catholic university of the sacred heart,unicatt.it,Italy,2021-08-24,
dutch university institute for art history,dutch university institute for art history,dutch university institute for art history (duia),iuoart.org,Italy,2021-08-24,
european school of economics in italy,european school of economics in italy,european school of economics in italy,uniese.it,Italy,2021-08-24,
european university institute,european university institute,european university institute,iue.it,Italy,2021-08-24,
fondazione sacro cuore,fondazione sacro cuore,fondazione sacro cuore,sacrocuore.org,Italy,2021-08-24,
free international university of social studies,free international university of social studies,free international university of social studies,luiss.it,Italy,2021-08-24,
free university maria santissima assunta,free university maria santissima assunta,free university maria santissima assunta,lumsa.it,Italy,2021-08-24,
free university institute carlo cattaneo,free university institute carlo cattaneo,free university institute carlo cattaneo,liuc.it,Italy,2021-08-24,
free university of bozen,free university of bozen,free university of bozen,unibz.it,Italy,2021-08-24,
higher school of university and advanced studies pisa,higher school of university and advanced studies pisa,higher school of university and advanced studies pisa,sssup.it,Italy,2021-08-24,
institute for advanced studies lucca,institute for advanced studies lucca,institute for advanced studies lucca,imtlucca.it,Italy,2021-08-24,
international higher school for advanced studies trieste,international higher school for advanced studies trieste,international higher school for advanced studies trieste,sissa.it,Italy,2021-08-24,
istituto universitario di studi superiori,istituto universitario di studi superiori,istituto universitario di studi superiori,iusspavia.it,Italy,2021-08-24,
john cabot university,john cabot university,john cabot university,johncabot.edu,Italy,2021-08-24,
johns hopkins university sais bologna center,johns hopkins university sais bologna center,johns hopkins university sais bologna center,jhubc.it,Italy,2021-08-24,
link campus university of malta,link campus university of malta,link campus university of malta,unilink.it,Italy,2021-08-24,
nuova accademia di belle arti milan|naba,nuova accademia di belle arti milan|naba,"nuova accademia di belle arti, milan",naba.it,Italy,2021-08-24,
polytechnic institute of bari,polytechnic institute of bari,polytechnic institute of bari,poliba.it,Italy,2021-08-24,
polytechnic institute of milan|politecnico di milano,polytechnic institute of milan|politecnico di milano,polytechnic institute of milan,polimi.it,Italy,2021-08-24,
polytechnic institute of turin,polytechnic institute of turin,polytechnic institute of turin,polito.it,Italy,2021-08-24,
pontifica università gregoriana,pontifica università gregoriana,pontifica università gregoriana,unigre.it,Italy,2021-08-24,
pontificia università della santa croce,pontificia università della santa croce,pontificia università della santa croce,pusc.it,Italy,2021-08-24,
pontificia università lateranense,pontificia università lateranense,pontificia università lateranense,pul.it,Italy,2021-08-24,
pontificia università s. tommaso,pontificia università s. tommaso,pontificia università s. tommaso,angelicum.org,Italy,2021-08-24,
pontificio ateneo antonianum,pontificio ateneo antonianum,pontificio ateneo antonianum,antonianum.ofm.org,Italy,2021-08-24,
pontificio istituto orientale,pontificio istituto orientale,pontificio istituto orientale,pio.urbe.it,Italy,2021-08-24,
school of education pisa,school of education pisa,school of education pisa,sns.it,Italy,2021-08-24,
second university of naples,second university of naples,second university of naples,unina2.it,Italy,2021-08-24,
third university of rome,third university of rome,third university of rome,uniroma3.it,Italy,2021-08-24,
università pontificia salesiana,università pontificia salesiana,università pontificia salesiana,unisal.it,Italy,2021-08-24,
university institute of architecture venice,university institute of architecture venice,university institute of architecture venice,iuav.unive.it,Italy,2021-08-24,
university institute of modern languages,university institute of modern languages,university institute of modern languages,iulm.it,Italy,2021-08-24,
university institute of naval studies,university institute of naval studies,university institute of naval studies,uninav.it,Italy,2021-08-24,
university institute of oriental studies,university institute of oriental studies,university institute of oriental studies,iuo.it,Italy,2021-08-24,
university institute of teacher training suor orsola benincasa,university institute of teacher training suor orsola benincasa,university institute of teacher training suor orsola benincasa,unisob.na.it,Italy,2021-08-24,
university of ancona,university of ancona,university of ancona,unian.it,Italy,2021-08-24,
university of aquila|university of l'aquila|university of l aquila,university of aquila|university of l'aquila|university of l aquila,university of aquila,univaq.it,Italy,2021-08-24,
university of bari,university of bari,university of bari,uniba.it,Italy,2021-08-24,
university of bergamo,university of bergamo,university of bergamo,unibg.it,Italy,2021-08-24,
university of bologna,university of bologna,university of bologna,unibo.it,Italy,2021-08-24,
university of brescia,university of brescia,university of brescia,unibs.it,Italy,2021-08-24,
university of cagliari,university of cagliari,university of cagliari,unica.it,Italy,2021-08-24,
university of calabria,university of calabria,university of calabria,unical.it,Italy,2021-08-24,
university of camerino,university of camerino,university of camerino,unicam.it,Italy,2021-08-24,
university of cassino,university of cassino,university of cassino,unicas.it,Italy,2021-08-24,
university of catania,university of catania,university of catania,unict.it,Italy,2021-08-24,
university of chieti,university of chieti,university of chieti,unich.it,Italy,2021-08-24,
university of ferrara,university of ferrara,university of ferrara,unife.it,Italy,2021-08-24,
university of florence|università degli studi di firenze,university of florence|università degli studi di firenze,university of florence,unifi.it,Italy,2021-08-24,
university of foggia,university of foggia,university of foggia,unifg.it,Italy,2021-08-24,
university of gastronomic sciences,university of gastronomic sciences,university of gastronomic sciences,unisg.it,Italy,2021-08-24,
university of genoa,university of genoa,university of genoa,unige.it,Italy,2021-08-24,
university of insubria,university of insubria,university of insubria,uninsubria.it,Italy,2021-08-24,
university of italian studies for foreigners of perugia,university of italian studies for foreigners of perugia,university of italian studies for foreigners of perugia,unistrapg.it,Italy,2021-08-24,
university of italian studies for foreigners of siena,university of italian studies for foreigners of siena,university of italian studies for foreigners of siena,unistrasi.it,Italy,2021-08-24,
university of lecce,university of lecce,university of lecce,unile.it,Italy,2021-08-24,
university of macerata,university of macerata,university of macerata,unimc.it,Italy,2021-08-24,
university of messina,university of messina,university of messina,unime.it,Italy,2021-08-24,
university of milan|università degli studi di milano,university of milan|università degli studi di milano,university of milan,unimi.it,Italy,2021-08-24,
university of milan bicocca|university of milano bicocca,university of milan bicocca|university of milano bicocca,university of milan bicocca,unimib.it,Italy,2021-08-24,
university of modena,university of modena,university of modena,casa.unimo.it,Italy,2021-08-24,
university of molise,university of molise,university of molise,unimol.it,Italy,2021-08-24,
university of naples federico ii,university of naples federico ii,university of naples federico ii,unina.it,Italy,2021-08-24,
university of padua|university of padova|università degli studi di padova,university of padua|university of padova|università degli studi di padova,university of padua,unipd.it,Italy,2021-08-24,
university of palermo,university of palermo,university of palermo,unipa.it,Italy,2021-08-24,
university of parma|università degli studi di parma,university of parma,university of parma,unipr.it,Italy,2021-08-24,
university of pavia,university of pavia,university of pavia,unipv.it,Italy,2021-08-24,
university of perugia,university of perugia,university of perugia,unipg.it,Italy,2021-08-24,
university of pisa,university of pisa,university of pisa,unipi.it,Italy,2021-08-24,
university of reggio calabria,university of reggio calabria,university of reggio calabria,unirc.it,Italy,2021-08-24,
university of roma la sapienza|rome la sapienza|sapienza university of rome,university of roma la sapienza|rome la sapienza|sapienza university of rome,university of roma la sapienza,uniroma1.it,Italy,2021-08-24,
university of roma tor vergata|roma tor vergata|rome tor vergata,university of roma tor vergata|roma tor vergata|rome tor vergata,university of roma tor vergata,uniroma2.eu,Italy,2021-08-24,
university of salerno,university of salerno,university of salerno,unisa.it,Italy,2021-08-24,
university of sannio,university of sannio,university of sannio,unisannio.it,Italy,2021-08-24,
university of sassari,university of sassari,university of sassari,uniss.it,Italy,2021-08-24,
university of siena,university of siena,university of siena,unisi.it,Italy,2021-08-24,
university of teramo,university of teramo,university of teramo,unite.it,Italy,2021-08-24,
university of trento,university of trento,university of trento,unitn.it,Italy,2021-08-24,
university of trieste,university of trieste,university of trieste,units.it,Italy,2021-08-24,
university of turin,university of turin,university of turin,unito.it,Italy,2021-08-24,
university of udine,university of udine,university of udine,uniud.it,Italy,2021-08-24,
university of urbino,university of urbino,university of urbino,uniurb.it,Italy,2021-08-24,
university of venice,university of venice,university of venice,unive.it,Italy,2021-08-24,
university of verona,university of verona,university of verona,univr.it,Italy,2021-08-24,
viterbo state university,viterbo state university,viterbo state university,unitus.it,Italy,2021-08-24,
yorker international university milano,yorker international university milano,yorker international university milano,nyuniversity.net,Italy,2021-08-24,
northern caribbean university,northern caribbean university,northern caribbean university,ncu.edu.jm,Jamaica,2021-08-24,
university of technology jamaica,university of technology jamaica,university of technology jamaica,utech.edu.jm,Jamaica,2021-08-24,
"university of the west indies, mona","university of the west indies, mona","university of the west indies, mona",uwimona.edu.jm,Jamaica,2021-08-24,
aichi bunkyo university,aichi bunkyo university,aichi bunkyo university,abu.ac.jp,Japan,2021-08-24,
aichi gakuin university,aichi gakuin university,aichi gakuin university,aichi-gakuin.ac.jp,Japan,2021-08-24,
aichi gakusen university,aichi gakusen university,aichi gakusen university,gakusen.ac.jp,Japan,2021-08-24,
aichi institute of technology,aichi institute of technology,aichi institute of technology,aitech.ac.jp,Japan,2021-08-24,
aichi medical university,aichi medical university,aichi medical university,aichi-med-u.ac.jp,Japan,2021-08-24,
aichi prefectural university,aichi prefectural university,aichi prefectural university,aichi-pu.ac.jp,Japan,2021-08-24,
aichi prefectural university of fine arts and music,aichi prefectural university of fine arts and music,aichi prefectural university of fine arts and music,aichi-fam-u.ac.jp,Japan,2021-08-24,
aichi sangyo university,aichi sangyo university,aichi sangyo university,asu.ac.jp,Japan,2021-08-24,
aichi shukutoku university,aichi shukutoku university,aichi shukutoku university,aasa.ac.jp,Japan,2021-08-24,
aichi university,aichi university,aichi university,aichi-u.ac.jp,Japan,2021-08-24,
aichi university of education,aichi university of education,aichi university of education,aichi-edu.ac.jp,Japan,2021-08-24,
aikoku gakuen university,aikoku gakuen university,aikoku gakuen university,aikoku-u.ac.jp,Japan,2021-08-24,
akita university,akita university,akita university,akita-u.ac.jp,Japan,2021-08-24,
akita university of economics and law,akita university of economics and law,akita university of economics and law,akeihou-u.ac.jp,Japan,2021-08-24,
american university extension okinawa,american university extension okinawa,"american university extension, okinawa",aue-okinawa.ac.jp,Japan,2021-08-24,
aomori chuoh gakuin university,aomori chuoh gakuin university,aomori chuoh gakuin university,aomoricgu.ac.jp,Japan,2021-08-24,
aomori public college,aomori public college,aomori public college,nebuta.ac.jp,Japan,2021-08-24,
aomori university,aomori university,aomori university,aomori-u.ac.jp,Japan,2021-08-24,
aomori university of health and welfare,aomori university of health and welfare,aomori university of health and welfare,auhw.ac.jp,Japan,2021-08-24,
aoyama gakuin university,aoyama gakuin university,aoyama gakuin university,aoyama.ac.jp,Japan,2021-08-24,
asahi university,asahi university,asahi university,asahi-u.ac.jp,Japan,2021-08-24,
asahikawa medical college,asahikawa medical college,asahikawa medical college,asahikawa-med.ac.jp,Japan,2021-08-24,
asahikawa university,asahikawa university,asahikawa university,asahikawa-u.ac.jp,Japan,2021-08-24,
ashikaga institute of technology,ashikaga institute of technology,ashikaga institute of technology,ashitech.ac.jp,Japan,2021-08-24,
ashiya university,ashiya university,ashiya university,ashiya-u.ac.jp,Japan,2021-08-24,
asia university,asia university,asia university,asia-u.ac.jp,Japan,2021-08-24,
atomi college,atomi college,atomi college,atomi.ac.jp,Japan,2021-08-24,
azabu university,azabu university,azabu university,azabu-u.ac.jp,Japan,2021-08-24,
baika women's college,baika women's college,baika women's college,baika.ac.jp,Japan,2021-08-24,
baiko women's college,baiko women's college,baiko women's college,baiko.ac.jp,Japan,2021-08-24,
beppu university,beppu university,beppu university,beppu-u.ac.jp,Japan,2021-08-24,
bukkyo university,bukkyo university,bukkyo university,bukkyo-u.ac.jp,Japan,2021-08-24,
bunka women's university,bunka women's university,bunka women's university,bunka-wu.ac.jp,Japan,2021-08-24,
bunkyo university,bunkyo university,bunkyo university,bunkyo.ac.jp,Japan,2021-08-24,
chiba institute of technology,chiba institute of technology,chiba institute of technology,it-chiba.ac.jp|s.chibakoudai.jp,Japan,2021-08-24,
chiba keizai university,chiba keizai university,chiba keizai university,cku.ac.jp,Japan,2021-08-24,
chiba university,chiba university,chiba university,chiba-u.ac.jp,Japan,2021-08-24,
chiba university of commerce,chiba university of commerce,chiba university of commerce,cuc.ac.jp,Japan,2021-08-24,
chikushi jogakuen university,chikushi jogakuen university,chikushi jogakuen university,chikushi.ac.jp,Japan,2021-08-24,
chubu gakuin university and chubu women's college,chubu gakuin university and chubu women's college,chubu gakuin university and chubu women's college,chubu-gu.ac.jp,Japan,2021-08-24,
chubu university,chubu university,chubu university,chubu.ac.jp,Japan,2021-08-24,
chukyo gakuin university,chukyo gakuin university,chukyo gakuin university,chukyogakuin-u.ac.jp,Japan,2021-08-24,
chukyo university,chukyo university,chukyo university,chukyo-u.ac.jp,Japan,2021-08-24,
chukyo women's university,chukyo women's university,chukyo women's university,chujo-u.ac.jp,Japan,2021-08-24,
chuo gakuin university,chuo gakuin university,chuo gakuin university,cgu.ac.jp,Japan,2021-08-24,
chuo university,chuo university,chuo university,chuo-u.ac.jp,Japan,2021-08-24,
dai ichi university college of technology|dai ichi university,dai ichi university college of technology|dai ichi university,"dai ichi university, college of technology",daiichi-koudai.ac.jp,Japan,2021-08-24,
daido institute of technology,daido institute of technology,daido institute of technology,daido-it.ac.jp,Japan,2021-08-24,
daiichi college of pharmaceutical sciences,daiichi college of pharmaceutical sciences,daiichi college of pharmaceutical sciences,daiichi-cps.ac.jp,Japan,2021-08-24,
daiichi university of economics,daiichi university of economics,daiichi university of economics,daiichi-ue.ac.jp,Japan,2021-08-24,
daito bunka university,daito bunka university,daito bunka university,daito.ac.jp,Japan,2021-08-24,
doho university,doho university,doho university,doho.ac.jp,Japan,2021-08-24,
dohto university,dohto university,dohto university,dohto.ac.jp,Japan,2021-08-24,
dokkyo university,dokkyo university,dokkyo university,dokkyo.ac.jp,Japan,2021-08-24,
dokkyo university school of medicine,dokkyo university school of medicine,dokkyo university school of medicine,dokkyomed.ac.jp,Japan,2021-08-24,
doshisha university,doshisha university,doshisha university,doshisha.ac.jp,Japan,2021-08-24,
doshisha women's college of liberal arts,doshisha women's college of liberal arts,doshisha women's college of liberal arts,dwc.doshisha.ac.jp,Japan,2021-08-24,
edogawa university,edogawa university,edogawa university,edogawa-u.ac.jp,Japan,2021-08-24,
ehime university,ehime university,ehime university,ehime-u.ac.jp,Japan,2021-08-24,
eichi university,eichi university,eichi university,eichi-u.ac.jp,Japan,2021-08-24,
elisabeth university of music,elisabeth university of music,elisabeth university of music,eum.ac.jp,Japan,2021-08-24,
ferris university,ferris university,ferris university,ferris.ac.jp,Japan,2021-08-24,
fuji university,fuji university,fuji university,termnet.co.jp,Japan,2021-08-24,
fuji women's college,fuji women's college,fuji women's college,fujijoshi.ac.jp,Japan,2021-08-24,
fujita health university,fujita health university,fujita health university,fujita-hu.ac.jp,Japan,2021-08-24,
fukui medical school,fukui medical school,fukui medical school,fukui-med.ac.jp,Japan,2021-08-24,
fukui prefectural university,fukui prefectural university,fukui prefectural university,fpu.ac.jp,Japan,2021-08-24,
fukui university,fukui university,fukui university,fukui-u.ac.jp,Japan,2021-08-24,
fukui university of technology,fukui university of technology,fukui university of technology,fukui-ut.ac.jp,Japan,2021-08-24,
fukuoka dental college,fukuoka dental college,fukuoka dental college,fdcnet.ac.jp,Japan,2021-08-24,
