catch_terms,recode_column,organization_name,domains,country,to_edit,dataset,parent_org,org_type
fundación desc√∫breme|discover me foundation,fundación desc√∫breme|discover me foundation,Fundación Desc√∫breme|Discover Me Foundation,,,1,NGO List,,
fundación dime ,fundación dime ,"Fundación Dime, A.C.",,,,NGO List,,
fundacion teleton,fundacion teleton,Fundacion Teleton,,,,NGO List,,
g3ict|global initiative for inclusive technologies,g3ict|global initiative for inclusive technologies,"G3ict, Global Initiative for Inclusive Technologies",,,,NGO List,,
gambia future hands on disabled people,gambia future hands on disabled people,Gambia Future Hands on Disabled People,,,,NGO List,,
gedaraf digital city organization,gedaraf digital city organization,Gedaraf Digital City Organization,,,,NGO List,,
gerakan peduli disabilitas dan lepra indonesia,gerakan peduli disabilitas dan lepra indonesia,Gerakan Peduli Disabilitas Dan Lepra Indonesia,,,,NGO List,,
global alliance on accessible technologies and environment,global alliance on accessible technologies and environment,Global Alliance on Accessible Technologies and Environment,,,,NGO List,,
global deaf connection,global deaf connection,Global Deaf Connection,,,,NGO List,,
global disability innovation hub,global disability innovation hub,Global Disability Innovation Hub,,,,NGO List,,
global partnership for disability and development,global partnership for disability and development,Global Partnership for Disability and Development,,,,NGO List,,
globalpartnersunited,globalpartnersunited,GlobalPartnersUnited,,,,NGO List,,
halftheplanet foundation,halftheplanet foundation,HalfthePlanet Foundation,,,,NGO List,,
handicap international,handicap international,Handicap International,,,,NGO List,,
harmony of the world,harmony of the world,Harmony of the World,,,,NGO List,,
harvard law school project on disability,harvard law school project on disability,Harvard Law School Project on Disability,,,,NGO List,,
help me see inc,help me see inc,"Help Me See, Inc",,,,NGO List,,
hong kong council of social service,hong kong council of social service,Hong Kong Council of Social Service,,,,NGO List,,
human rights watch,human rights watch,Human Rights Watch,,,,NGO List,,
humanitarian organization for poverty eradication,humanitarian organization for poverty eradication,Humanitarian Organization for Poverty Eradication,,,,NGO List,,
idea center,idea center,Idea Center,,,,NGO List,,
ifendu for women's development,ifendu for women's development,IFENDU for Women's Development,,,,NGO List,,
impact foundation bangladesh,impact foundation bangladesh,Impact Foundation Bangladesh,,,,NGO List,,
inclusion international,inclusion international,Inclusion International,,,,NGO List,,
inclusion ireland,inclusion ireland,Inclusion Ireland,,,,NGO List,,
institute for human centered design|adaptive environments,institute for human centered design|adaptive environments,Institute for Human Centered Design|Adaptive Environments,,,,NGO List,,
institute of developing economies,institute of developing economies,Institute of Developing Economies,,,,NGO List,,
institute on disability and public policy,institute on disability and public policy,Institute on Disability and Public Policy,,,,NGO List,,
instituto paradigma,instituto paradigma,Instituto Paradigma,,,,NGO List,,
instituto ser educacional,instituto ser educacional,Instituto ser educacional,,,,NGO List,,
interamerican institute on disability,interamerican institute on disability,Inter-American Institute on Disability,,,,NGO List,,
international center for autism research and education,international center for autism research and education,International Center for Autism Research and Education,,,,NGO List,,
international council for caring communities inc,international council for caring communities inc,"International Council For Caring Communities, Inc",,,,NGO List,,
international disability alliance,international disability alliance,International Disability Alliance,,,,NGO List,,
international dyslexia association,international dyslexia association,International Dyslexia Association,,,,NGO List,,
international federation for spina bifida and hydrocephalus,international federation for spina bifida and hydrocephalus,International Federation for Spina Bifida and Hydrocephalus,,,,NGO List,,
