business,ownedbyLabel,parentorgLabel,partofLabel,memberofLabel,ownerofLabel
http://www.wikidata.org/entity/Q37156,The Vanguard Group,,Dow Jones Industrial Average,European Committee for Interoperable Systems,IBM Rochester
http://www.wikidata.org/entity/Q37156,State Street Corporation,,Dow Jones Industrial Average,European Committee for Interoperable Systems,IBM Rochester
http://www.wikidata.org/entity/Q37156,Berkshire Hathaway,,S&P 500,European Committee for Interoperable Systems,IBM Rochester
http://www.wikidata.org/entity/Q37156,The Vanguard Group,,S&P 500,European Committee for Interoperable Systems,IBM Rochester
http://www.wikidata.org/entity/Q37156,State Street Corporation,,S&P 500,European Committee for Interoperable Systems,IBM Rochester
http://www.wikidata.org/entity/Q37156,Berkshire Hathaway,,Dow Jones Global Titans 50,European Committee for Interoperable Systems,IBM Rochester
http://www.wikidata.org/entity/Q37156,The Vanguard Group,,Dow Jones Global Titans 50,European Committee for Interoperable Systems,IBM Rochester
http://www.wikidata.org/entity/Q37156,State Street Corporation,,Dow Jones Global Titans 50,European Committee for Interoperable Systems,IBM Rochester
http://www.wikidata.org/entity/Q37156,Berkshire Hathaway,,Dow Jones Industrial Average,FIDO Alliance,IBM Rochester
http://www.wikidata.org/entity/Q37156,The Vanguard Group,,Dow Jones Industrial Average,FIDO Alliance,IBM Rochester
http://www.wikidata.org/entity/Q37156,State Street Corporation,,Dow Jones Industrial Average,FIDO Alliance,IBM Rochester
http://www.wikidata.org/entity/Q37156,Berkshire Hathaway,,S&P 500,FIDO Alliance,IBM Rochester
http://www.wikidata.org/entity/Q37156,The Vanguard Group,,S&P 500,FIDO Alliance,IBM Rochester
http://www.wikidata.org/entity/Q37156,State Street Corporation,,S&P 500,FIDO Alliance,IBM Rochester
http://www.wikidata.org/entity/Q37156,Berkshire Hathaway,,Dow Jones Global Titans 50,FIDO Alliance,IBM Rochester
http://www.wikidata.org/entity/Q37156,The Vanguard Group,,Dow Jones Global Titans 50,FIDO Alliance,IBM Rochester
http://www.wikidata.org/entity/Q37156,State Street Corporation,,Dow Jones Global Titans 50,FIDO Alliance,IBM Rochester
http://www.wikidata.org/entity/Q37156,Berkshire Hathaway,,Dow Jones Industrial Average,OpenPOWER Foundation,IBM Rochester
http://www.wikidata.org/entity/Q37156,The Vanguard Group,,Dow Jones Industrial Average,OpenPOWER Foundation,IBM Rochester
http://www.wikidata.org/entity/Q791069,Cinven,,,,Europropulsion
http://www.wikidata.org/entity/Q791179,,,FTSE 100 Index,,Tour Carpe Diem
http://www.wikidata.org/entity/Q791179,,,FTSE 100 Index,,"The Mount, Sheffield"
http://www.wikidata.org/entity/Q791179,,,FTSE 100 Index,,DeltaFort Beleggingen I
http://www.wikidata.org/entity/Q791296,,,,,
http://www.wikidata.org/entity/Q791744,,,,,
http://www.wikidata.org/entity/Q792486,Axel Johnson AB,,,,
http://www.wikidata.org/entity/Q792500,Khazanah Nasional,,,,Celcom
http://www.wikidata.org/entity/Q792500,Khazanah Nasional,,,,XL Axiata
http://www.wikidata.org/entity/Q792500,Khazanah Nasional,,,,AXIS Telekom Indonesia
http://www.wikidata.org/entity/Q792500,Khazanah Nasional,,,,Robi Axiata
http://www.wikidata.org/entity/Q792539,,,,,
http://www.wikidata.org/entity/Q792735,,,,,Holiday Inn & Suites Makati
http://www.wikidata.org/entity/Q792735,,,,,InterContinental Manila
http://www.wikidata.org/entity/Q792735,,,,,Ayala Malls
http://www.wikidata.org/entity/Q792735,,,,,Vermosa Sports Hub
http://www.wikidata.org/entity/Q793607,,,,,
http://www.wikidata.org/entity/Q793755,,,,,
http://www.wikidata.org/entity/Q794516,,,,,
http://www.wikidata.org/entity/Q794565,,Authentic Brands Group,,,
http://www.wikidata.org/entity/Q795181,,,,,
http://www.wikidata.org/entity/Q795243,,,,,
http://www.wikidata.org/entity/Q795348,,,,,Neowiz Games
http://www.wikidata.org/entity/Q795348,,,,,NHN Bugs
http://www.wikidata.org/entity/Q795454,,,,,GameStop
http://www.wikidata.org/entity/Q795454,,,,,SparkNotes
http://www.wikidata.org/entity/Q795473,NN Group,,,,Jerónimo Martins
http://www.wikidata.org/entity/Q795473,Stichting Administratiekantoor Preferente Financieringsaandelen Ahold,,,,Jerónimo Martins
http://www.wikidata.org/entity/Q795473,DeltaFort Beleggingen I,,,,Jerónimo Martins
http://www.wikidata.org/entity/Q795473,Mondrian Investment Partners Limited,,,,Jerónimo Martins
http://www.wikidata.org/entity/Q795474,,,,,Mediterranean Float Glass
http://www.wikidata.org/entity/Q795474,,,,,Brandt Group
http://www.wikidata.org/entity/Q795474,,,,,Isla Mondial
http://www.wikidata.org/entity/Q795474,,,,,EvCon
http://www.wikidata.org/entity/Q795474,,,,,Numilog
http://www.wikidata.org/entity/Q795474,,,,,Oxxo Evolution
http://www.wikidata.org/entity/Q795486,,,S&P 500,,
http://www.wikidata.org/entity/Q795695,,,,,Park'N Fly
http://www.wikidata.org/entity/Q795695,,,,,BCD Travel
http://www.wikidata.org/entity/Q795808,,,,,
http://www.wikidata.org/entity/Q795822,,,,,
http://www.wikidata.org/entity/Q795861,,,,,
http://www.wikidata.org/entity/Q795865,,,,,
http://www.wikidata.org/entity/Q795928,,,,,
http://www.wikidata.org/entity/Q795933,,Royal Dutch Shell,,,
http://www.wikidata.org/entity/Q795940,,,,,
http://www.wikidata.org/entity/Q795953,,,,,
http://www.wikidata.org/entity/Q795981,,,,,Universal Typeface Experiment
http://www.wikidata.org/entity/Q796154,,,,,
http://www.wikidata.org/entity/Q796197,,,,,
http://www.wikidata.org/entity/Q796223,Bremen,,,,"Eurogate GmbH & Co. KGaA, KG"
http://www.wikidata.org/entity/Q796223,Q64739343,,,,"Eurogate GmbH & Co. KGaA, KG"
http://www.wikidata.org/entity/Q796309,,,,,
http://www.wikidata.org/entity/Q796648,,,,,
http://www.wikidata.org/entity/Q796752,BMW,,,,BMW Group Plant Spartanburg
http://www.wikidata.org/entity/Q796826,BNP Paribas,BNP Paribas,,,
http://www.wikidata.org/entity/Q796886,,,,German-Swiss Chamber of Commerce,
http://www.wikidata.org/entity/Q796949,,,,,
http://www.wikidata.org/entity/Q797060,,,,,
http://www.wikidata.org/entity/Q797061,,,,,
http://www.wikidata.org/entity/Q797609,,,,,
http://www.wikidata.org/entity/Q797750,,,,,
http://www.wikidata.org/entity/Q797809,,,,,
http://www.wikidata.org/entity/Q798025,,,,,
http://www.wikidata.org/entity/Q798156,,,,,
http://www.wikidata.org/entity/Q798711,,,,Verband kommunaler Unternehmen,
http://www.wikidata.org/entity/Q798888,,,,,
http://www.wikidata.org/entity/Q798945,,,,,
http://www.wikidata.org/entity/Q369524,Ábrahám Ganz,,,,
http://www.wikidata.org/entity/Q369897,,,,,
http://www.wikidata.org/entity/Q370719,,SK Group,,OpenPOWER Foundation,
http://www.wikidata.org/entity/Q371068,Brown-Forman,Brown-Forman,,,
http://www.wikidata.org/entity/Q371901,BlackRock,,,,Faxe Brewery
http://www.wikidata.org/entity/Q371901,Chr. Augustinus Fabrikker,,,,Faxe Brewery
http://www.wikidata.org/entity/Q371901,BlackRock,,,,Ceres Brewery
http://www.wikidata.org/entity/Q371901,Chr. Augustinus Fabrikker,,,,Ceres Brewery
http://www.wikidata.org/entity/Q371901,BlackRock,,,,Tauras
http://www.wikidata.org/entity/Q371901,Chr. Augustinus Fabrikker,,,,Tauras
http://www.wikidata.org/entity/Q371901,BlackRock,,,,Albani Brewery
http://www.wikidata.org/entity/Q371901,Chr. Augustinus Fabrikker,,,,Albani Brewery
http://www.wikidata.org/entity/Q371901,BlackRock,,,,Kalnapilis
http://www.wikidata.org/entity/Q371901,Chr. Augustinus Fabrikker,,,,Kalnapilis
http://www.wikidata.org/entity/Q371901,BlackRock,,,,Maribo Bryghus
http://www.wikidata.org/entity/Q371901,Chr. Augustinus Fabrikker,,,,Maribo Bryghus
http://www.wikidata.org/entity/Q371901,BlackRock,,,,Līvu Alus
http://www.wikidata.org/entity/Q371901,Chr. Augustinus Fabrikker,,,,Līvu Alus
http://www.wikidata.org/entity/Q371901,BlackRock,,,,Q19926555
http://www.wikidata.org/entity/Q371901,Chr. Augustinus Fabrikker,,,,Q19926555
http://www.wikidata.org/entity/Q372435,,Dentsu,,,
http://www.wikidata.org/entity/Q372445,,,,,Swebus Express
http://www.wikidata.org/entity/Q372681,,Éditions Philippe Amaury,,,
http://www.wikidata.org/entity/Q372899,,,,,
http://www.wikidata.org/entity/Q373724,Agence des participations de l'État,,,,GeoPost
http://www.wikidata.org/entity/Q373724,Agence des participations de l'État,,,,DOCAPOST
http://www.wikidata.org/entity/Q373724,Agence des participations de l'État,,,,La Banque Postale
http://www.wikidata.org/entity/Q373724,Agence des participations de l'État,,,,Q3399775
http://www.wikidata.org/entity/Q373724,Agence des participations de l'État,,,,Q3399779
http://www.wikidata.org/entity/Q373724,Agence des participations de l'État,,,,Q3564026
http://www.wikidata.org/entity/Q373724,Agence des participations de l'État,,,,Q16638604
http://www.wikidata.org/entity/Q373724,Agence des participations de l'État,,,,Hôtel des Postes de Reims
http://www.wikidata.org/entity/Q3884,BlackRock,,S&P 100,FIDO Alliance,Amazon HQ2
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,S&P 100,FIDO Alliance,Amazon HQ2
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,S&P 100,FIDO Alliance,Amazon HQ2
http://www.wikidata.org/entity/Q3884,BlackRock,,Big Tech (web),FIDO Alliance,Amazon HQ2
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,Big Tech (web),FIDO Alliance,Amazon HQ2
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,Big Tech (web),FIDO Alliance,Amazon HQ2
http://www.wikidata.org/entity/Q3884,BlackRock,,S&P 500,Internet Association,Amazon HQ2
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,S&P 500,Internet Association,Amazon HQ2
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,S&P 500,Internet Association,Amazon HQ2
http://www.wikidata.org/entity/Q3884,BlackRock,,NASDAQ-100,Internet Association,Amazon HQ2
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,NASDAQ-100,Internet Association,Amazon HQ2
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,NASDAQ-100,Internet Association,Amazon HQ2
http://www.wikidata.org/entity/Q3884,BlackRock,,S&P 100,Internet Association,Amazon HQ2
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,S&P 100,Internet Association,Amazon HQ2
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,S&P 100,Internet Association,Amazon HQ2
http://www.wikidata.org/entity/Q3884,BlackRock,,Big Tech (web),Internet Association,Amazon HQ2
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,Big Tech (web),Internet Association,Amazon HQ2
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,Big Tech (web),Internet Association,Amazon HQ2
http://www.wikidata.org/entity/Q3884,BlackRock,,S&P 500,Alliance for Open Media,Amazon HQ2
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,S&P 500,Alliance for Open Media,Amazon HQ2
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,S&P 500,Alliance for Open Media,Amazon HQ2
http://www.wikidata.org/entity/Q3884,BlackRock,,NASDAQ-100,Alliance for Open Media,Amazon HQ2
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,NASDAQ-100,Alliance for Open Media,Amazon HQ2
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,NASDAQ-100,Alliance for Open Media,Amazon HQ2
http://www.wikidata.org/entity/Q3884,BlackRock,,S&P 100,Alliance for Open Media,Amazon HQ2
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,S&P 100,Alliance for Open Media,Amazon HQ2
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,S&P 100,Alliance for Open Media,Amazon HQ2
http://www.wikidata.org/entity/Q3884,BlackRock,,Big Tech (web),Alliance for Open Media,Amazon HQ2
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,Big Tech (web),Alliance for Open Media,Amazon HQ2
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,Big Tech (web),Alliance for Open Media,Amazon HQ2
http://www.wikidata.org/entity/Q3884,BlackRock,,S&P 500,Zigbee Alliance,Amazon HQ2
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,S&P 500,Zigbee Alliance,Amazon HQ2
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,S&P 500,Zigbee Alliance,Amazon HQ2
http://www.wikidata.org/entity/Q3884,BlackRock,,NASDAQ-100,Zigbee Alliance,Amazon HQ2
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,NASDAQ-100,Zigbee Alliance,Amazon HQ2
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,NASDAQ-100,Zigbee Alliance,Amazon HQ2
http://www.wikidata.org/entity/Q3884,BlackRock,,S&P 100,Zigbee Alliance,Amazon HQ2
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,S&P 100,Zigbee Alliance,Amazon HQ2
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,S&P 100,Zigbee Alliance,Amazon HQ2
http://www.wikidata.org/entity/Q3884,BlackRock,,Big Tech (web),Zigbee Alliance,Amazon HQ2
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,Big Tech (web),Zigbee Alliance,Amazon HQ2
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,Big Tech (web),Zigbee Alliance,Amazon HQ2
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,Big Tech (web),World Wide Web Consortium,Treasure Truck
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,Big Tech (web),World Wide Web Consortium,Treasure Truck
http://www.wikidata.org/entity/Q3884,BlackRock,,S&P 500,Linux Foundation,Treasure Truck
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,S&P 500,Linux Foundation,Treasure Truck
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,S&P 500,Linux Foundation,Treasure Truck
http://www.wikidata.org/entity/Q3884,BlackRock,,NASDAQ-100,Linux Foundation,Treasure Truck
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,NASDAQ-100,Linux Foundation,Treasure Truck
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,NASDAQ-100,Linux Foundation,Treasure Truck
http://www.wikidata.org/entity/Q3884,BlackRock,,S&P 100,Linux Foundation,Treasure Truck
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,S&P 100,Linux Foundation,Treasure Truck
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,S&P 100,Linux Foundation,Treasure Truck
http://www.wikidata.org/entity/Q3884,BlackRock,,Big Tech (web),Linux Foundation,Treasure Truck
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,Big Tech (web),Linux Foundation,Treasure Truck
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,Big Tech (web),Linux Foundation,Treasure Truck
http://www.wikidata.org/entity/Q3884,BlackRock,,S&P 500,SD Association,Treasure Truck
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,S&P 500,SD Association,Treasure Truck
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,S&P 500,SD Association,Treasure Truck
http://www.wikidata.org/entity/Q3884,BlackRock,,NASDAQ-100,SD Association,Treasure Truck
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,NASDAQ-100,SD Association,Treasure Truck
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,NASDAQ-100,SD Association,Treasure Truck
http://www.wikidata.org/entity/Q3884,BlackRock,,S&P 100,SD Association,Treasure Truck
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,S&P 100,SD Association,Treasure Truck
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,S&P 100,SD Association,Treasure Truck
http://www.wikidata.org/entity/Q3884,BlackRock,,Big Tech (web),SD Association,Treasure Truck
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,Big Tech (web),SD Association,Treasure Truck
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,Big Tech (web),SD Association,Treasure Truck
http://www.wikidata.org/entity/Q3884,BlackRock,,S&P 500,FIDO Alliance,Treasure Truck
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,S&P 500,FIDO Alliance,Treasure Truck
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,S&P 500,FIDO Alliance,Treasure Truck
http://www.wikidata.org/entity/Q3884,BlackRock,,NASDAQ-100,FIDO Alliance,Treasure Truck
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,NASDAQ-100,FIDO Alliance,Treasure Truck
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,NASDAQ-100,FIDO Alliance,Treasure Truck
http://www.wikidata.org/entity/Q3884,BlackRock,,S&P 100,FIDO Alliance,Treasure Truck
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,S&P 100,FIDO Alliance,Treasure Truck
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,S&P 100,FIDO Alliance,Treasure Truck
http://www.wikidata.org/entity/Q3884,BlackRock,,Big Tech (web),FIDO Alliance,Treasure Truck
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,Big Tech (web),FIDO Alliance,Treasure Truck
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,Big Tech (web),FIDO Alliance,Treasure Truck
http://www.wikidata.org/entity/Q3884,BlackRock,,S&P 500,Internet Association,Treasure Truck
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,S&P 500,Internet Association,Treasure Truck
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,S&P 500,Internet Association,Treasure Truck
