business,ownedbyLabel,parentorgLabel,partofLabel,memberofLabel
http://www.wikidata.org/entity/Q380,Dustin Moskovitz,,Big Tech (web),Wi-Fi Alliance
http://www.wikidata.org/entity/Q380,Mark Zuckerberg,,S&P 500,FIDO Alliance
http://www.wikidata.org/entity/Q380,Eduardo Saverin,,S&P 500,FIDO Alliance
http://www.wikidata.org/entity/Q380,Dustin Moskovitz,,S&P 500,FIDO Alliance
http://www.wikidata.org/entity/Q380,Mark Zuckerberg,,S&P 100,FIDO Alliance
http://www.wikidata.org/entity/Q380,Eduardo Saverin,,S&P 100,FIDO Alliance
http://www.wikidata.org/entity/Q380,Dustin Moskovitz,,S&P 100,FIDO Alliance
http://www.wikidata.org/entity/Q380,Mark Zuckerberg,,Big Tech (web),FIDO Alliance
http://www.wikidata.org/entity/Q380,Eduardo Saverin,,Big Tech (web),FIDO Alliance
http://www.wikidata.org/entity/Q380,Dustin Moskovitz,,Big Tech (web),FIDO Alliance
http://www.wikidata.org/entity/Q380,Mark Zuckerberg,,S&P 500,Internet Association
http://www.wikidata.org/entity/Q380,Eduardo Saverin,,S&P 500,Internet Association
http://www.wikidata.org/entity/Q380,Dustin Moskovitz,,S&P 500,Internet Association
http://www.wikidata.org/entity/Q380,Mark Zuckerberg,,S&P 100,Internet Association
http://www.wikidata.org/entity/Q380,Eduardo Saverin,,S&P 100,Internet Association
http://www.wikidata.org/entity/Q380,Dustin Moskovitz,,S&P 100,Internet Association
http://www.wikidata.org/entity/Q380,Mark Zuckerberg,,Big Tech (web),Internet Association
http://www.wikidata.org/entity/Q380,Eduardo Saverin,,Big Tech (web),Internet Association
http://www.wikidata.org/entity/Q380,Dustin Moskovitz,,Big Tech (web),Internet Association
http://www.wikidata.org/entity/Q380,Mark Zuckerberg,,S&P 500,Alliance for Open Media
http://www.wikidata.org/entity/Q380,Eduardo Saverin,,S&P 500,Alliance for Open Media
http://www.wikidata.org/entity/Q380,Dustin Moskovitz,,S&P 500,Alliance for Open Media
http://www.wikidata.org/entity/Q380,Mark Zuckerberg,,S&P 100,Alliance for Open Media
http://www.wikidata.org/entity/Q380,Eduardo Saverin,,S&P 100,Alliance for Open Media
http://www.wikidata.org/entity/Q380,Dustin Moskovitz,,S&P 100,Alliance for Open Media
http://www.wikidata.org/entity/Q380,Mark Zuckerberg,,Big Tech (web),Alliance for Open Media
http://www.wikidata.org/entity/Q380,Eduardo Saverin,,Big Tech (web),Alliance for Open Media
http://www.wikidata.org/entity/Q380,Dustin Moskovitz,,Big Tech (web),Alliance for Open Media
http://www.wikidata.org/entity/Q380,Mark Zuckerberg,,S&P 500,CVE Numbering Authorities
http://www.wikidata.org/entity/Q380,Eduardo Saverin,,S&P 500,CVE Numbering Authorities
http://www.wikidata.org/entity/Q380,Dustin Moskovitz,,S&P 500,CVE Numbering Authorities
http://www.wikidata.org/entity/Q380,Mark Zuckerberg,,S&P 100,CVE Numbering Authorities
http://www.wikidata.org/entity/Q380,Eduardo Saverin,,S&P 100,CVE Numbering Authorities
http://www.wikidata.org/entity/Q380,Dustin Moskovitz,,S&P 100,CVE Numbering Authorities
http://www.wikidata.org/entity/Q380,Mark Zuckerberg,,Big Tech (web),CVE Numbering Authorities
http://www.wikidata.org/entity/Q380,Eduardo Saverin,,Big Tech (web),CVE Numbering Authorities
http://www.wikidata.org/entity/Q380,Dustin Moskovitz,,Big Tech (web),CVE Numbering Authorities
http://www.wikidata.org/entity/Q380,Mark Zuckerberg,,S&P 500,Rust Foundation
http://www.wikidata.org/entity/Q380,Eduardo Saverin,,S&P 500,Rust Foundation
http://www.wikidata.org/entity/Q380,Dustin Moskovitz,,S&P 500,Rust Foundation
http://www.wikidata.org/entity/Q380,Mark Zuckerberg,,S&P 100,Rust Foundation
http://www.wikidata.org/entity/Q380,Eduardo Saverin,,S&P 100,Rust Foundation
http://www.wikidata.org/entity/Q380,Dustin Moskovitz,,S&P 100,Rust Foundation
http://www.wikidata.org/entity/Q380,Mark Zuckerberg,,Big Tech (web),Rust Foundation
http://www.wikidata.org/entity/Q380,Eduardo Saverin,,Big Tech (web),Rust Foundation
http://www.wikidata.org/entity/Q380,Dustin Moskovitz,,Big Tech (web),Rust Foundation
http://www.wikidata.org/entity/Q1418,BlackRock,,,World Wide Web Consortium
http://www.wikidata.org/entity/Q1418,BlackRock,,,Bluetooth Special Interest Group
http://www.wikidata.org/entity/Q1418,BlackRock,,,Union des Industries Ferroviaires Européennes
http://www.wikidata.org/entity/Q1418,BlackRock,,,Linux Foundation
