business,msacademicLabel,grididLabel,opencorporatesLabel
http://www.wikidata.org/entity/Q156077,14285755,grid.417821.9,fr/632012100
http://www.wikidata.org/entity/Q156238,923382979,grid.421234.2,
http://www.wikidata.org/entity/Q156578,1319473763,grid.6569.c,de/P1103_P2413_HRB100484
http://www.wikidata.org/entity/Q156644,1306686416,grid.417480.e,
http://www.wikidata.org/entity/Q156829,,,
http://www.wikidata.org/entity/Q157064,,,
http://www.wikidata.org/entity/Q157617,194828866,,de/M1201_HRB32000
http://www.wikidata.org/entity/Q157645,75171615,grid.480081.5,de/R3201_HRB6792
http://www.wikidata.org/entity/Q157852,153366846,grid.497047.9,de/M1201_HRB32232
http://www.wikidata.org/entity/Q158205,,grid.417924.d,fr/395030844
http://www.wikidata.org/entity/Q158888,145697608,,
http://www.wikidata.org/entity/Q159433,,grid.417536.2,
http://www.wikidata.org/entity/Q159614,123919768,grid.471307.6,jp/4011101010841
http://www.wikidata.org/entity/Q160054,8391235,grid.497919.b,
http://www.wikidata.org/entity/Q160229,,grid.426313.1,
http://www.wikidata.org/entity/Q160746,177526471,grid.419905.0,ch/126288
http://www.wikidata.org/entity/Q161086,,grid.467443.6,
http://www.wikidata.org/entity/Q161140,,grid.473036.5,gb/00023307
http://www.wikidata.org/entity/Q161833,,,
http://www.wikidata.org/entity/Q162345,2818286,grid.454259.b,
http://www.wikidata.org/entity/Q162852,,grid.467585.d,
http://www.wikidata.org/entity/Q163241,,grid.423649.e,de/P2305_HRB3527
http://www.wikidata.org/entity/Q163560,,,
http://www.wikidata.org/entity/Q163566,,grid.425675.7,
http://www.wikidata.org/entity/Q163810,1340210623,grid.5911.c,se/556012-5790
http://www.wikidata.org/entity/Q164740,,grid.410862.9,jp/2010401064789
http://www.wikidata.org/entity/Q165684,,grid.451304.7,
http://www.wikidata.org/entity/Q165858,2800934870,grid.451332.2,
http://www.wikidata.org/entity/Q166621,,grid.484483.7,jp/9010001081419
http://www.wikidata.org/entity/Q166873,,,
http://www.wikidata.org/entity/Q168115,,grid.452701.5,jp/5010001034867
http://www.wikidata.org/entity/Q168238,45840348,grid.426135.7,
http://www.wikidata.org/entity/Q169167,162492115,,
http://www.wikidata.org/entity/Q169339,,grid.150792.8,
http://www.wikidata.org/entity/Q169747,,,
http://www.wikidata.org/entity/Q170416,123119031,grid.417284.c,
http://www.wikidata.org/entity/Q170416,1329325741,grid.417284.c,
http://www.wikidata.org/entity/Q170614,,,
http://www.wikidata.org/entity/Q173395,151281966,grid.421222.5,
http://www.wikidata.org/entity/Q173395,2776571666,grid.421222.5,
http://www.wikidata.org/entity/Q173476,,grid.466574.2,
http://www.wikidata.org/entity/Q173941,1331400332,grid.497079.4,us_ca/C1520080
http://www.wikidata.org/entity/Q174198,129331126,grid.470575.4,
http://www.wikidata.org/entity/Q174310,,,
http://www.wikidata.org/entity/Q174769,1333569300,,us_de/890080
http://www.wikidata.org/entity/Q175106,,,
http://www.wikidata.org/entity/Q175835,176660719,,
http://www.wikidata.org/entity/Q176508,,grid.471197.d,jp/9180301014251
http://www.wikidata.org/entity/Q176572,158139479,grid.473131.3,jp/1130001011676
http://www.wikidata.org/entity/Q176587,,grid.497179.5,
http://www.wikidata.org/entity/Q176712,,,
http://www.wikidata.org/entity/Q177814,,grid.426011.0,
http://www.wikidata.org/entity/Q178576,,,
http://www.wikidata.org/entity/Q178778,24193003,grid.471255.0,jp/5010001137950
http://www.wikidata.org/entity/Q179433,91443412,grid.471171.5,jp/3010001034943
http://www.wikidata.org/entity/Q180106,200146187,grid.480329.4,
http://www.wikidata.org/entity/Q180476,,,
http://www.wikidata.org/entity/Q180855,,grid.467392.d,
http://www.wikidata.org/entity/Q180922,900231141,grid.293206.c,
http://www.wikidata.org/entity/Q181507,,,
http://www.wikidata.org/entity/Q182197,,grid.458128.2,no/942593821
http://www.wikidata.org/entity/Q182477,,grid.451133.1,us_de/2862596
http://www.wikidata.org/entity/Q183184,242860377,,
http://www.wikidata.org/entity/Q183454,52760245,,
http://www.wikidata.org/entity/Q184601,,,
http://www.wikidata.org/entity/Q185278,,,
http://www.wikidata.org/entity/Q185339,1317029613,grid.422209.f,
http://www.wikidata.org/entity/Q185564,,,
http://www.wikidata.org/entity/Q185651,,,
http://www.wikidata.org/entity/Q185872,,,
http://www.wikidata.org/entity/Q186012,2724335451,grid.471059.e,
http://www.wikidata.org/entity/Q186394,2252096349,grid.418251.b,jp/1020001071491
http://www.wikidata.org/entity/Q187212,,,
http://www.wikidata.org/entity/Q187740,,,
http://www.wikidata.org/entity/Q187854,1342100751,,dk/35421041
http://www.wikidata.org/entity/Q188087,,,
http://www.wikidata.org/entity/Q188273,,grid.497238.3,fr/335186094
http://www.wikidata.org/entity/Q188326,,,se/556042-7220
http://www.wikidata.org/entity/Q188454,1295929820,grid.471327.4,jp/3080401005595
http://www.wikidata.org/entity/Q188514,1301507905,grid.465105.3,
http://www.wikidata.org/entity/Q188822,1288600564,grid.462005.5,
http://www.wikidata.org/entity/Q188920,1320351128,grid.467364.4,
http://www.wikidata.org/entity/Q190464,24190266,grid.435067.3,gb/00617987
http://www.wikidata.org/entity/Q191551,,,
http://www.wikidata.org/entity/Q191715,,grid.467582.a,
http://www.wikidata.org/entity/Q192314,1305429384,grid.466824.a,
http://www.wikidata.org/entity/Q1130956,,,
http://www.wikidata.org/entity/Q1130970,66238984,,
http://www.wikidata.org/entity/Q1131102,,,
http://www.wikidata.org/entity/Q1131463,,grid.465122.6,
http://www.wikidata.org/entity/Q1131835,,,
http://www.wikidata.org/entity/Q1132272,,grid.481058.0,
http://www.wikidata.org/entity/Q1134069,,grid.510252.1,
http://www.wikidata.org/entity/Q1134746,148878910,,
http://www.wikidata.org/entity/Q1135278,,,
http://www.wikidata.org/entity/Q1135601,,,
http://www.wikidata.org/entity/Q1135686,,,
http://www.wikidata.org/entity/Q1135992,,,
http://www.wikidata.org/entity/Q1136085,156918239,grid.418655.b,gb/04267576
