catch_terms,recode_column,organization,domain_name,domain_type,agency,city,state,country
u.s. department of the treasury - federal reserve system,u.s. department of the treasury - federal reserve system,U.S. Department of the Treasury - Federal Reserve System,ipac.gov,Federal Agency - Executive,Department of the Treasury,Boston,MA,United States
department of the treasury - fms,department of the treasury - fms,Department of the Treasury - FMS,ipp.gov|its.gov|navycash.gov,Federal Agency - Executive,Department of the Treasury,McLean,VA,United States
department of the treasury - irs,department of the treasury - irs,Department of the Treasury - IRS,irs.gov|irsnet.gov|tax.gov,Federal Agency - Executive,Department of the Treasury,McLean,VA,United States
tcs (irs),tcs (irs),TCS (IRS),irsauctions.gov|irssales.gov,Federal Agency - Executive,Department of the Treasury,McLean,VA,United States
ocio,ocio,OCIO,makinghomeaffordable.gov,Federal Agency - Executive,Department of the Treasury,Washington,DC,United States
department of the treasury / ocio,department of the treasury / ocio,Department of the Treasury / OCIO,mha.gov|mymoney.gov|treasuryecm.gov,Federal Agency - Executive,Department of the Treasury,Washington,DC,United States
department of the treasury - fs,department of the treasury - fs,Department of the Treasury - FS,myra.gov,Federal Agency - Executive,Department of the Treasury,Washington,DC,United States
department of the treasury - occ,department of the treasury - occ,Department of the Treasury - OCC,nationalbank.gov,Federal Agency - Executive,Department of the Treasury,McLean,VA,United States
comptroller of the currency,comptroller of the currency,Comptroller of the Currency,occnet.gov,Federal Agency - Executive,Department of the Treasury,Landover,MD,United States
ots c/o tcs,ots c/o tcs,OTS c/o TCS,ots.gov,Federal Agency - Executive,Department of the Treasury,McLean,VA,United States
office of the chief information officer (ocio),office of the chief information officer (ocio),Office of the Chief Information Officer (OCIO),pracomment.gov,Federal Agency - Executive,Department of the Treasury,Washington,DC,United States
financial management service (nesb branch),financial management service (nesb branch),Financial Management Service (NESB Branch),qatesttwai.gov,Federal Agency - Executive,Department of the Treasury,Hyattsville,MD,United States
department of the treasury - bpd,department of the treasury - bpd,Department of the Treasury - BPD,savingsbond.gov|savingsbondwizard.gov|slgs.gov|taaps.gov|treasuryauctions.gov|treasuryscams.gov|wizard.gov,Federal Agency - Executive,Department of the Treasury,Mclean,VA,United States
department of the treasury - bpd,department of the treasury - bpd,Department of the Treasury - BPD,savingsbonds.gov|treasurydirect.gov,Federal Agency - Executive,Department of the Treasury,McLean,VA,United States
special inspector general for the troubled asset relief program,special inspector general for the troubled asset relief program,Special Inspector General for the Troubled Asset Relief Program,sigtarp.gov,Federal Agency - Executive,Department of the Treasury,Washington,DC,United States
treasury inspector general for tax administration,treasury inspector general for tax administration,Treasury Inspector General for Tax Administration,tigta.gov,Federal Agency - Executive,Department of the Treasury,Washington,DC,United States
tcs,tcs,TCS,tigtanet.gov|ustreas.gov,Federal Agency - Executive,Department of the Treasury,McLean,VA,United States
department of treasury,department of treasury,Department of Treasury,treasuryauction.gov,Federal Agency - Executive,Department of the Treasury,Parkersburg,WV,United States
bureau of the public debt,bureau of the public debt,Bureau of the Public Debt,treasuryhunt.gov,Federal Agency - Executive,Department of the Treasury,Parkersburg,WV,United States
alcohol and tobacco tax and trade bureau,alcohol and tobacco tax and trade bureau,Alcohol and Tobacco tax and Trade Bureau,ttb.gov,Federal Agency - Executive,Department of the Treasury,Washington,DC,United States
alcohol and tobacco tax and trade bureau,alcohol and tobacco tax and trade bureau,Alcohol and Tobacco tax and Trade Bureau,ttbonline.gov,Federal Agency - Executive,Department of the Treasury,McLean,VA,United States
department of the treasury - fms,department of the treasury - fms,Department of the Treasury - FMS,ttlplus.gov,Federal Agency - Executive,Department of the Treasury,St. Louis,MO,United States
"general services administration, office of citizen services","general services administration, office of citizen services","General Services Administration, Office of Citizen Services",usaspending.gov,Federal Agency - Executive,Department of the Treasury,Washington,DC,United States
department of the treasury - fms,department of the treasury - fms,Department of the Treasury - FMS,usdebitcard.gov,Federal Agency - Executive,Department of the Treasury,Mclean,VA,United States
department of the treasury - u.s. mint,department of the treasury - u.s. mint,Department of the Treasury - U.S. Mint,usmint.gov,Federal Agency - Executive,Department of the Treasury,Washington,DC,United States
treasury pmo,treasury pmo,Treasury PMO,workplace.gov,Federal Agency - Executive,Department of the Treasury,Washington,DC,United States
national highway traffic safety administration,national highway traffic safety administration,National Highway Traffic Safety Administration,911.gov|distracteddriving.gov|nhtsa.gov|safercar.gov,Federal Agency - Executive,Department of Transportation,Washington,DC,United States
bureau of transportation statistics,bureau of transportation statistics,Bureau of Transportation Statistics,bts.gov|safeocs.gov,Federal Agency - Executive,Department of Transportation,Washington,DC,United States
national highway traffic safety administration (nhtsa).,national highway traffic safety administration (nhtsa).,National Highway Traffic Safety Administration (NHTSA).,distraction.gov,Federal Agency - Executive,Department of Transportation,Washington,DC,United States
united states department of transportation,united states department of transportation,United States Department of Transportation,dot.gov,Federal Agency - Executive,Department of Transportation,Washington,DC,United States
u.s. department of transportation office of the chief information officer,u.s. department of transportation office of the chief information officer,U.S. Department of Transportation Office of the Chief Information Officer,dotideahub.gov,Federal Agency - Executive,Department of Transportation,Washington,DC,United States
nhtsa,nhtsa,NHTSA,dottrafficrecords.gov|ems.gov|trafficsafetymarketing.gov,Federal Agency - Executive,Department of Transportation,Washington,DC,United States
faa mmac,faa mmac,FAA MMAC,esc.gov,Federal Agency - Executive,Department of Transportation,Oklahoma City,OK,United States
federal aviation administration,federal aviation administration,Federal Aviation Administration,faa.gov,Federal Agency - Executive,Department of Transportation,Washington,DC,United States
faasteam,faasteam,FAASTeam,faasafety.gov,Federal Agency - Executive,Department of Transportation,Washington,DC,United States
dot/faa/mmac.ami400,dot/faa/mmac.ami400,DOT/FAA/MMAC.AMi400,jccbi.gov,Federal Agency - Executive,Department of Transportation,Oklahoma City,OK,United States
federal motor carrier safety administration,federal motor carrier safety administration,Federal Motor Carrier Safety Administration,protectyourmove.gov|sharetheroadsafely.gov,Federal Agency - Executive,Department of Transportation,Washington,DC,United States
ocio,ocio,OCIO,safecar.gov,Federal Agency - Executive,Department of Transportation,Washington,DC,United States
dot nhtsa,dot nhtsa,DOT NHTSA,safertruck.gov,Federal Agency - Executive,Department of Transportation,Washington,DC,United States
u.s. department of transportation,u.s. department of transportation,U.S. Department of Transportation,transportation.gov,Federal Agency - Executive,Department of Transportation,Washington,DC,United States
department of veterans affairs,department of veterans affairs,Department of Veterans Affairs,ehr.gov|va.gov,Federal Agency - Executive,Department of Veterans Affairs,Washington,DC,United States
u.s. department of veterans affairs,u.s. department of veterans affairs,U.S. Department of Veterans Affairs,vets.gov,Federal Agency - Executive,Department of Veterans Affairs,Washington,DC,United States
office of the director of national intelligence,office of the director of national intelligence,Office of the Director of National Intelligence,ce-ncsc.gov|famep.gov|intel.gov,Federal Agency - Executive,Director of National Intelligence,McLean,VA,United States
"office of directorate of national intelligence, business transformation office","office of directorate of national intelligence, business transformation office","Office of Directorate of National Intelligence, Business Transformation Office",dni.gov,Federal Agency - Executive,Director of National Intelligence,McLean,VA,United States
office of the director of national intelligence,office of the director of national intelligence,Office of the Director of National Intelligence,iarpa-ideas.gov|icjointduty.gov|qart.gov,Federal Agency - Executive,Director of National Intelligence,Washington,DC,United States
odni - iarpa,odni - iarpa,ODNI - IARPA,iarpa.gov,Federal Agency - Executive,Director of National Intelligence,College Park,MD,United States
office of director of national intelligence - cio (ices),office of director of national intelligence - cio (ices),Office of Director of National Intelligence - CIO (ICES),intelink.gov|osis.gov|ugov.gov,Federal Agency - Executive,Director of National Intelligence,Fort Meade,MD,United States
office of director of national intelligence - public affairs office,office of director of national intelligence - public affairs office,Office of Director of National Intelligence - Public Affairs Office,intelligence.gov|odni.gov,Federal Agency - Executive,Director of National Intelligence,Washington,DC,United States
"office of the program manager, information sharing environment, office of the dni","office of the program manager, information sharing environment, office of the dni","Office of the Program Manager, Information Sharing Environment, Office of the DNI",ise.gov,Federal Agency - Executive,Director of National Intelligence,Washington,DC,United States
office of the national counterintelligence executive - ncix,office of the national counterintelligence executive - ncix,Office of the National Counterintelligence Executive - NCIX,ncix.gov,Federal Agency - Executive,Director of National Intelligence,Washington,DC,United States
national counterintelligence and security center,national counterintelligence and security center,National Counterintelligence and Security Center,ncsc.gov,Federal Agency - Executive,Director of National Intelligence,Bethesda,MD,United States
dwight d. eisenhower memorial commission,dwight d. eisenhower memorial commission,Dwight D. Eisenhower Memorial Commission,eisenhowermemorial.gov,Federal Agency - Executive,Dwight D. Eisenhower Memorial Commission,Washington,DC,United States
election assistance commission,election assistance commission,Election Assistance Commission,eac.gov,Federal Agency - Executive,Election Assistance Commission,Silver Spring,MD,United States
u. s. election assistance commission,u. s. election assistance commission,U. S. ELECTION ASSISTANCE COMMISSION,votebymail.gov,Federal Agency - Executive,Election Assistance Commission,Silver Spring,MD,United States
environmental protection agency,environmental protection agency,Environmental Protection Agency,airnow.gov,Federal Agency - Executive,Environmental Protection Agency,Durham,NC,United States
oei/otop/ncc,oei/otop/ncc,OEI/OTOP/NCC,cbi-epa.gov,Federal Agency - Executive,Environmental Protection Agency,Durham,NC,United States
united sates environmental protection agency,united sates environmental protection agency,United Sates Environmental Protection Agency,e-enterprise.gov,Federal Agency - Executive,Environmental Protection Agency,Washington,DC,United States
environmental protection agency,environmental protection agency,Environmental Protection Agency,energystar.gov,Federal Agency - Executive,Environmental Protection Agency,Washington,DC,United States
environmental protection agency,environmental protection agency,Environmental Protection Agency,epa.gov,Federal Agency - Executive,Environmental Protection Agency,Research Triangle Park,NC,United States
erdc cerl,erdc cerl,ERDC CERL,fedcenter.gov,Federal Agency - Executive,Environmental Protection Agency,Champaign,IL,United States
us environmental protection agency,us environmental protection agency,US Environmental Protection Agency,foiaonline.gov,Federal Agency - Executive,Environmental Protection Agency,Washington,DC,United States
federal remediation roundtable,federal remediation roundtable,Federal Remediation Roundtable,frtr.gov,Federal Agency - Executive,Environmental Protection Agency,Omaha,NE,United States
"us epa, great lakes national program office","us epa, great lakes national program office","US EPA, Great Lakes National Program Office",glnpo.gov,Federal Agency - Executive,Environmental Protection Agency,Chicago,IL,United States
office of federal sustainability,office of federal sustainability,Office of Federal Sustainability,greengov.gov|sustainability.gov,Federal Agency - Executive,Environmental Protection Agency,Washington,DC,United States
federal employee relocation center,federal employee relocation center,Federal Employee Relocation Center,relocatefeds.gov,Federal Agency - Executive,Environmental Protection Agency,Cincinnati,OH,United States
u.s. epa,u.s. epa,U.S. EPA,urbanwaters.gov,Federal Agency - Executive,Environmental Protection Agency,Washington,DC,United States
u. s. equal employment opportunity commission,u. s. equal employment opportunity commission,U. S. Equal Employment Opportunity Commission,eeoc.gov,Federal Agency - Executive,Equal Employment Opportunity Commission,Washington,DC,United States
executive office of the president,executive office of the president,Executive Office of the President,ai.gov|bebest.gov|coronavirus.gov|coronavirustesting.gov|crisisnextdoor.gov|g72020.gov|g7campdavid.gov|g7usa.gov|pitc.gov|wgdp.gov|whitehousedrugpolicy.gov,Federal Agency - Executive,Executive Office of the President,Washington,DC,United States
office of management and budget,office of management and budget,Office of Management and Budget,budget.gov,Federal Agency - Executive,Executive Office of the President,Washington,DC,United States
omb,omb,OMB,earmarks.gov,Federal Agency - Executive,Executive Office of the President,Washington,DC,United States
office of administration,office of administration,Office of Administration,eop.gov|wh.gov,Federal Agency - Executive,Executive Office of the President,Washington,DC,United States
eop,eop,EOP,greatagain.gov|omb.gov,Federal Agency - Executive,Executive Office of the President,Washington,DC,United States
"office of management and budget, budget review division","office of management and budget, budget review division","Office of Management and Budget, Budget Review Division",max.gov,Federal Agency - Executive,Executive Office of the President,Washington,DC,United States
council on environmental quality,council on environmental quality,Council on Environmental Quality,nepa.gov,Federal Agency - Executive,Executive Office of the President,Washington,DC,United States
office of national drug control policy,office of national drug control policy,Office of National Drug Control Policy,ondcp.gov,Federal Agency - Executive,Executive Office of the President,Washington,DC,United States
office of science and technology policy - white house,office of science and technology policy - white house,Office of Science and Technology Policy - White House,ostp.gov,Federal Agency - Executive,Executive Office of the President,Washington,DC,United States
office of citizen services and innovative technologies,office of citizen services and innovative technologies,Office of Citizen Services and Innovative Technologies,paymentaccuracy.gov,Federal Agency - Executive,Executive Office of the President,Washington,DC,United States
presidential community of interest,presidential community of interest,Presidential Community of Interest,pci.gov,Federal Agency - Executive,Executive Office of the President,Washington,DC,United States
united states digital service,united states digital service,United States Digital Service,usdigitalservice.gov|usds.gov,Federal Agency - Executive,Executive Office of the President,Washington,DC,United States
united states trade representative,united states trade representative,United States Trade Representative,ustr.gov,Federal Agency - Executive,Executive Office of the President,Washington,DC,United States
white house,white house,White House,whitehouse.gov,Federal Agency - Executive,Executive Office of the President,Washington,DC,United States
export-import bank of the united states,export-import bank of the united states,Export-Import Bank of the United States,exim.gov,Federal Agency - Executive,Export/Import Bank of the U.S.,Washington,DC,United States
farm credit administration,farm credit administration,Farm Credit Administration,fca.gov,Federal Agency - Executive,Farm Credit Administration,McLean,VA,United States
farm credit system insurance corporation,farm credit system insurance corporation,Farm Credit System Insurance Corporation,fcsic.gov,Federal Agency - Executive,Farm Credit Administration,McLean,VA,United States
federal communications commission,federal communications commission,Federal Communications Commission,broadband.gov|dtv.gov|openinternet.gov,Federal Agency - Executive,Federal Communications Commission,Washington,DC,United States
information technology center,information technology center,Information Technology Center,fcc.gov,Federal Agency - Executive,Federal Communications Commission,Washington,DC,United States
fcc,fcc,FCC,lifeline.gov,Federal Agency - Executive,Federal Communications Commission,Washington,DC,United States
federal deposit insurance corporation,federal deposit insurance corporation,Federal Deposit Insurance Corporation,economicinclusion.gov|fdic.gov|fdicconnect.gov|fdicseguro.gov|myfdic.gov|ofia.gov,Federal Agency - Executive,Federal Deposit Insurance Corporation,Arlington,VA,United States
federal deposit insurance coprporation,federal deposit insurance coprporation,Federal Deposit Insurance Coprporation,fdicig.gov,Federal Agency - Executive,Federal Deposit Insurance Corporation,Arlington,VA,United States
federal deposit insurance corporation,federal deposit insurance corporation,Federal Deposit Insurance Corporation,fdicoig.gov,Federal Agency - Executive,Federal Deposit Insurance Corporation,Washington,DC,United States
federal election commission,federal election commission,Federal Election Commission,fec.gov,Federal Agency - Executive,Federal Election Commission,Washington,DC,United States
federal energy regulatory commission,federal energy regulatory commission,Federal Energy Regulatory Commission,ferc.gov|fercalt.gov,Federal Agency - Executive,Federal Energy Regulatory Commission,Washington,DC,United States
federal housing finance agency,federal housing finance agency,Federal Housing Finance Agency,fhfa.gov|harp.gov|mortgagetranslations.gov,Federal Agency - Executive,Federal Housing Finance Agency,Washington,DC,United States
federal housing finance agency office of inspector general,federal housing finance agency office of inspector general,Federal Housing Finance Agency Office of Inspector General,fhfaoig.gov,Federal Agency - Executive,"Federal Housing Finance Agency, Office of Inspector General",Washington,DC,United States
flra,flra,FLRA,flra.gov,Federal Agency - Executive,Federal Labor Relations Authority,Washington,DC,United States
federal maritime commission,federal maritime commission,Federal Maritime Commission,fmc.gov,Federal Agency - Executive,Federal Maritime Commission,Washington,DC,United States
office of conflict management and prevention,office of conflict management and prevention,Office of Conflict Management and Prevention,adr.gov,Federal Agency - Executive,Federal Mediation and Conciliation Service,Washington,DC,United States
fmcs,fmcs,FMCS,fmcs.gov,Federal Agency - Executive,Federal Mediation and Conciliation Service,Washington,DC,United States
federal mine safety & health review commission,federal mine safety & health review commission,Federal Mine Safety & Health Review Commission,fmshrc.gov,Federal Agency - Executive,Federal Mine Safety and Health Review Commission,Washington,DC,United States
the financial and banking information infrastructure committee,the financial and banking information infrastructure committee,The Financial and Banking Information Infrastructure Committee,fbiic.gov,Federal Agency - Executive,Federal Reserve Board of Governors,Washington,DC,United States
federal reserve bank,federal reserve bank,Federal Reserve Bank,federalreserve.gov,Federal Agency - Executive,Federal Reserve Board of Governors,Washington,DC,United States
board of governors of the federal reserve,board of governors of the federal reserve,Board of Governors of the Federal Reserve,federalreserveconsumerhelp.gov|frb.fed.us,Federal Agency - Executive,Federal Reserve Board of Governors,Washington,DC,United States
federal reserve board of governors,federal reserve board of governors,Federal Reserve Board of Governors,fedpartnership.gov,Federal Agency - Executive,Federal Reserve Board of Governors,Washington,DC,United States
federal financial institutions examination council,federal financial institutions examination council,Federal Financial Institutions Examination Council,ffiec.gov,Federal Agency - Executive,Federal Reserve Board of Governors,Washington,DC,United States
federal reserve board,federal reserve board,Federal Reserve Board,frb.gov|newmoney.gov|uscurrency.gov,Federal Agency - Executive,Federal Reserve Board of Governors,Washington,DC,United States
department of commerce,department of commerce,Department of Commerce,frs.gov,Federal Agency - Executive,Federal Reserve Board of Governors,Washington,DC,United States
federal retirement thrift investment board,federal retirement thrift investment board,Federal Retirement Thrift Investment Board,exploretsp.gov|frtib.gov|tsp.gov,Federal Agency - Executive,Federal Retirement Thrift Investment Board,Washington,DC,United States
federal retirement thrift investement board,federal retirement thrift investement board,Federal Retirement Thrift Investement Board,frtibtest.gov,Federal Agency - Executive,Federal Retirement Thrift Investment Board,Washigton,DC,United States
federal retirement thrift investement board,federal retirement thrift investement board,Federal Retirement Thrift Investement Board,tsptest.gov,Federal Agency - Executive,Federal Retirement Thrift Investment Board,Washington,DC,United States
federal trade commission,federal trade commission,Federal Trade Commission,alertaenlinea.gov|consumer.gov|consumersentinel.gov|consumersentinelnetwork.gov|donotcall.gov|dontserveteens.gov|econsumer.gov|ftc.gov|ftccomplaintassistant.gov|ftcefile.gov|hsr.gov|identitytheft.gov|idtheft.gov|militaryconsumer.gov|onguardonline.gov|protecciondelconsumidor.gov|robodeidentidad.gov|sentinel.gov|uce.gov,Federal Agency - Executive,Federal Trade Commission,Washington,DC,United States
federal citizen information center/ocsc,federal citizen information center/ocsc,Federal Citizen Information Center/OCSC,consumidor.gov,Federal Agency - Executive,Federal Trade Commission,Washington,DC,United States
18f,18f,18F,18f.gov|identitysandbox.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
general services administration,general services administration,General Services Administration,accessibility.gov|buyamerican.gov|citizenscience.gov|connect.gov|data.gov|digitaldashboard.gov|fdms.gov|forms.gov|fpc.gov|gsaauctions.gov|idmanagement.gov|innovation.gov|login.gov|pic.gov|realpropertyprofile.gov|regulations.gov|rocis.gov|search.gov|section508.gov|wdol.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
integrated acquisition environment,integrated acquisition environment,Integrated Acquisition Environment,acquisition.gov,Federal Agency - Executive,General Services Administration,Arlington,VA,United States
us general services administration,us general services administration,US General Services Administration,afadvantage.gov|frpg.gov|gsaadvantage.gov|ussm.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
office of citizen services and innovative technologies,office of citizen services and innovative technologies,Office of Citizen Services and Innovative Technologies,businessusa.gov|digitalgov.gov|fedramp.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
electronic government and technology,electronic government and technology,Electronic Government and Technology,buyaccessible.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
gsa-interagency management division,gsa-interagency management division,GSA-Interagency Management Division,cao.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
civilian board of contract appeals,civilian board of contract appeals,Civilian Board of Contract Appeals,cbca.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
federal assistance catalog,federal assistance catalog,Federal Assistance Catalog,cfda.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
chief finanical officers council,chief finanical officers council,Chief Finanical Officers Council,cfo.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
office of citizen services,office of citizen services,Office of Citizen Services,challenge.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
chief information officers council,chief information officers council,Chief Information Officers Council,cio.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
18f | gsa,18f | gsa,18F | GSA,cloud.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
u.s. general services administration,u.s. general services administration,U.S. General Services Administration,code.gov|itdashboard.gov|usability.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
federal supply service,federal supply service,Federal Supply Service,computersforlearning.gov,Federal Agency - Executive,General Services Administration,Arlington,VA,United States
federal citizen information center/ocsc,federal citizen information center/ocsc,Federal Citizen Information Center/OCSC,consumeraction.gov|info.gov|kids.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
gsa office of acquisition systems,gsa office of acquisition systems,GSA Office of Acquisition Systems,contractdirectory.gov,Federal Agency - Executive,General Services Administration,Arlington,VA,United States
gsa,gsa,GSA,cpars.gov|ecpic.gov|fapiis.gov|fbf.gov|fed.us|fedinfo.gov|gsa.gov|gsatest1.gov|gsatest2.gov|ptt.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
the general services administration,the general services administration,The General Services Administration,digital.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
gsa,gsa,GSA,dotgov.gov|nic.gov,Federal Agency - Executive,General Services Administration,Fairfax,VA,United States
office of acquisition systems,office of acquisition systems,Office Of Acquisition Systems,esrs.gov,Federal Agency - Executive,General Services Administration,Arlington,VA,United States
committee management secretariat,committee management secretariat,Committee Management Secretariat,faca.gov|facadatabase.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
fai,fai,FAI,fai.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
gsa/cao/oas,gsa/cao/oas,GSA/CAO/OAS,fbo.gov,Federal Agency - Executive,General Services Administration,Arlington,VA,United States
gsa/ocao/oas,gsa/ocao/oas,GSA/OCAO/OAS,fedbizopps.gov,Federal Agency - Executive,General Services Administration,Arlington,VA,United States
gsa/fas,gsa/fas,GSA/FAS,fedidcard.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
general services administration,general services administration,General Services Administration,fedrooms.gov|govsales.gov|gsaxcess.gov|sam.gov,Federal Agency - Executive,General Services Administration,Arlington,VA,United States
office of citizen services and communications,office of citizen services and communications,Office of Citizen Services and Communications,firstgov.gov|us.gov|usa.gov|usagov.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
gsa/ogp,gsa/ogp,GSA/OGP,fmi.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
iae - federal procurement data center,iae - federal procurement data center,IAE - Federal Procurement Data Center,fpds.gov,Federal Agency - Executive,General Services Administration,Arlington,VA,United States
federal permitting improvement steering council,federal permitting improvement steering council,FEDERAL PERMITTING IMPROVEMENT STEERING COUNCIL,fpisc.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
"gsa, office of governmentwide policy","gsa, office of governmentwide policy","GSA, Office of Governmentwide Policy",fpki-lab.gov|fpki.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
"office of the chief acquisition officer, office of acquisition systems","office of the chief acquisition officer, office of acquisition systems","Office of the Chief Acquisition Officer, Office of Acquisition Systems",fsd.gov,Federal Agency - Executive,General Services Administration,Arlington,VA,United States
gsa acquisition systems division,gsa acquisition systems division,GSA Acquisition Systems Division,fsrs.gov,Federal Agency - Executive,General Services Administration,Crystal City,VA,United States
firstgov.gov,firstgov.gov,FirstGov.gov,gobiernousa.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
gsa office of inspector general,gsa office of inspector general,GSA Office of Inspector General,gsaig.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
gsa - office of citizen services innovative technologies - oscit,gsa - office of citizen services innovative technologies - oscit,GSA - Office of Citizen Services Innovative Technologies - OSCIT,performance.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
general service administration,general service administration,General Service Administration,pif.gov|presidentialinnovationfellows.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
"gsa, office of information technology category (itc_","gsa, office of information technology category (itc_","GSA, Office of Information Technology Category (ITC_",pki-lab.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
"gsa, office of information technology category (itc)","gsa, office of information technology category (itc)","GSA, Office of Information Technology Category (ITC)",pki.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
gsa tts,gsa tts,GSA TTS,plainlanguage.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
gsa - ogp - iae,gsa - ogp - iae,GSA - OGP - IAE,ppirs.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
office of real property utilization and disposal (pbs),office of real property utilization and disposal (pbs),Office of Real Property Utilization and Disposal (PBS),realestatesales.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
regulatory information service center (risc),regulatory information service center (risc),Regulatory Information Service Center (RISC),reginfo.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
gsa office of government-wide policy,gsa office of government-wide policy,GSA Office of Government-wide Policy,reporting.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
"office of evaluation sciences, office of governmentwide policy","office of evaluation sciences, office of governmentwide policy","Office of Evaluation Sciences, Office of Governmentwide Policy",sbst.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
"gsa, ogp, office of federal high-performance green buildings","gsa, ogp, office of federal high-performance green buildings","GSA, OGP, Office of Federal High-Performance Green Buildings",sftool.gov,Federal Agency - Executive,General Services Administration,Chicago,IL,United States
"office of citizen services and innovative technologies, gsa","office of citizen services and innovative technologies, gsa","Office of Citizen Services and Innovative Technologies, GSA",vote.gov,Federal Agency - Executive,General Services Administration,Washington,DC,United States
gov domain ops,gov domain ops,Gov Domain OPS,ata.gov,Federal Agency - Executive,GOV Domain OPS,Washington,DC,United States
ogp  - general services administration,ogp  - general services administration,OGP  - General Services Administration,ecfc.gov,Federal Agency - Executive,GOV Domain OPS,Washington,DC,United States
gsa - office of governmentwide policy,gsa - office of governmentwide policy,GSA - Office of Governmentwide Policy,erpo.gov|nrpo.gov|owc.gov|psup.gov,Federal Agency - Executive,GOV Domain OPS,Washington,DC,United States
gov domain ops,gov domain ops,Gov Domain Ops,fraho.gov,Federal Agency - Executive,GOV Domain OPS,Washington,DC,United States
gsa office of governmentwide policy,gsa office of governmentwide policy,GSA Office of Governmentwide Policy,jpo.gov|psd.gov|rpo.gov,Federal Agency - Executive,GOV Domain OPS,Washington,DC,United States
gov domain ops,gov domain ops,GOV Domain OPS,osdls.gov,Federal Agency - Executive,GOV Domain OPS,Washington,DC,United States
ogp - general services administration,ogp - general services administration,OGP - General Services Administration,pubservices.gov,Federal Agency - Executive,GOV Domain OPS,Washington,DC,United States
national oceanic and atmospheric administration (noaa),national oceanic and atmospheric administration (noaa),National Oceanic and Atmospheric Administration (NOAA),restorethegulf.gov,Federal Agency - Executive,Gulf Coast Ecosystem Restoration Council,Silver Spring,MD,United States
harry s. truman scholarship foundation,harry s. truman scholarship foundation,Harry S. Truman Scholarship Foundation,truman.gov,Federal Agency - Executive,Harry S. Truman Scholarship Foundation,Washington,DC,United States
imls,imls,IMLS,imls.gov,Federal Agency - Executive,Institute of Museum and Library Services,Washington,DC,United States
inter-american foundation,inter-american foundation,Inter-American Foundation,iaf.gov,Federal Agency - Executive,Inter-American Foundation,Washington,DC,United States
james madison memorial fellowship foundation,james madison memorial fellowship foundation,James Madison Memorial Fellowship Foundation,jamesmadison.gov,Federal Agency - Executive,James Madison Memorial Fellowship Foundation,Alexandria,VA,United States
japan-us friendship commission,japan-us friendship commission,Japan-US Friendship Commission,jusfc.gov,Federal Agency - Executive,Japan-US Friendship Commision,Washington,DC,United States
john f kennedy center for performing arts,john f kennedy center for performing arts,John F Kennedy Center for Performing Arts,kennedy-center.gov,Federal Agency - Executive,John F. Kennedy Center for Performing Arts,Washington,DC,United States
legal services corporation,legal services corporation,Legal Services Corporation,lsc.gov,Federal Agency - Executive,Legal Services Corporation,Washington,DC,United States
marine mammal commission,marine mammal commission,Marine Mammal Commission,mmc.gov,Federal Agency - Executive,Marine Mammal Commission,Bethesda,MD,United States
us merit systems protection board,us merit systems protection board,US Merit Systems Protection Board,mspb.gov,Federal Agency - Executive,Merit Systems Protection Board,Washington,DC,United States
mcc,mcc,MCC,mcc.gov,Federal Agency - Executive,Millennium Challenge Corporation,Washington,DC,United States
