catch_terms,recode_column,organization,domain_name,domain_type,agency,city,state,country
cnss secretariat,cnss secretariat,CNSS Secretariat,cnss.gov,Federal Agency - Executive,Department of Defense,Fort Meade,MD,United States
mctft,mctft,MCTFT,ctoc.gov,Federal Agency - Executive,Department of Defense,Starke,FL,United States
combating terrorism technical support office,combating terrorism technical support office,Combating Terrorism Technical Support Office,cttso.gov,Federal Agency - Executive,Department of Defense,Arlington,VA,United States
defense cyber crime center,defense cyber crime center,Defense Cyber Crime Center,dc3on.gov,Federal Agency - Executive,Department of Defense,Linthicum,MD,United States
defense media activity,defense media activity,Defense Media Activity,defense.gov,Federal Agency - Executive,Department of Defense,Fort Meade,MD,United States
american forces information service,american forces information service,American Forces Information Service,dod.gov|pentagon.gov,Federal Agency - Executive,Department of Defense,Fort Meade,MD,United States
engineer research and development center,engineer research and development center,Engineer Research and Development Center,erdc.gov,Federal Agency - Executive,Department of Defense,Vicksburg,MS,United States
federal voting assistance program,federal voting assistance program,Federal Voting Assistance Program,fvap.gov,Federal Agency - Executive,Department of Defense,Alexandria,VA,United States
national security agency,national security agency,National Security Agency,iad.gov,Federal Agency - Executive,Department of Defense,Fort Meade,MD,United States
interagency opsec support staff,interagency opsec support staff,Interagency OPSEC Support Staff,ioss.gov,Federal Agency - Executive,Department of Defense,Greenbelt,MD,United States
interagency training center,interagency training center,Interagency Training Center,itc.gov,Federal Agency - Executive,Department of Defense,Fort Washington,MD,United States
defense logistics agency,defense logistics agency,Defense Logistics Agency,jccs.gov,Federal Agency - Executive,Department of Defense,Alexandria,VA,United States
mojave desert ecosystem program,mojave desert ecosystem program,Mojave Desert Ecosystem Program,mojavedata.gov,Federal Agency - Executive,Department of Defense,Barstow,CA,United States
department of defense,department of defense,Department of Defense,mtmc.gov,Federal Agency - Executive,Department of Defense,Alexandria,VA,United States
defense finance and accounting service,defense finance and accounting service,Defense Finance and Accounting Service,mypay.gov,Federal Agency - Executive,Department of Defense,Pensacola,FL,United States
office of warrior care policy,office of warrior care policy,OFFICE OF WARRIOR CARE POLICY,nationalresourcedirectory.gov|nrd.gov,Federal Agency - Executive,Department of Defense,Arlington,VA,United States
national background investigation services,national background investigation services,National Background Investigation Services,nbis.gov,Federal Agency - Executive,Department of Defense,Fort Meade,MD,United States
nro,nro,NRO,nro.gov|nrojr.gov,Federal Agency - Executive,Department of Defense,Chantilly,VA,United States
nsa,nsa,NSA,nsa.gov,Federal Agency - Executive,Department of Defense,Fort Meade,MD,United States
national security education program (nsep) at dlnseo,national security education program (nsep) at dlnseo,National Security Education Program (NSEP) at DLNSEO,nsep.gov,Federal Agency - Executive,Department of Defense,Alexandria,VA,United States
office of economic adjustment,office of economic adjustment,Office of Economic Adjustment,oea.gov,Federal Agency - Executive,Department of Defense,Arlington,VA,United States
defense intelligence agency,defense intelligence agency,Defense Intelligence Agency,siteidiq.gov,Federal Agency - Executive,Department of Defense,Arlington,VA,United States
technical support working group,technical support working group,Technical Support Working Group,tswg.gov,Federal Agency - Executive,Department of Defense,Arlington,VA,United States
aftac/lscss,aftac/lscss,AFTAC/LSCSS,usandc.gov,Federal Agency - Executive,Department of Defense,Patrick AFB,FL,United States
department of education,department of education,Department of Education,budgetlob.gov,Federal Agency - Executive,Department of Education,Washington,DC,United States
u.s. department of education,u.s. department of education,U.S. Department of Education,childstats.gov|collegenavigator.gov|ed.gov|edpubs.gov|fafsa.gov|g5.gov|nagb.gov|studentloans.gov,Federal Agency - Executive,Department of Education,Washington,DC,United States
"national center for education statistics, assessment division","national center for education statistics, assessment division","National Center for Education Statistics, Assessment Division",nationsreportcard.gov,Federal Agency - Executive,Department of Education,Washington,DC,United States
u.s. department of education (ed),u.s. department of education (ed),U.S. Department of Education (ED),studentaid.gov,Federal Agency - Executive,Department of Education,Washington,DC,United States
ames laboratory,ames laboratory,Ames Laboratory,ameslab.gov,Federal Agency - Executive,Department of Energy,Ames,IA,United States
argonne national laboratory,argonne national laboratory,Argonne National Laboratory,anl.gov,Federal Agency - Executive,Department of Energy,Argonne,IL,United States
battelle pacific northwest national laboratory,battelle pacific northwest national laboratory,Battelle Pacific Northwest National Laboratory,arm.gov,Federal Agency - Executive,Department of Energy,Richland,WA,United States
eere,eere,EERE,biomassboard.gov,Federal Agency - Executive,Department of Energy,Washington,DC,United States
brookhaven national laboratory,brookhaven national laboratory,Brookhaven National Laboratory,bnl.gov,Federal Agency - Executive,Department of Energy,Upton,NY,United States
bonneville power administration,bonneville power administration,Bonneville Power Administration,bpa.gov|salmonrecovery.gov,Federal Agency - Executive,Department of Energy,Portland,OR,United States
us department of energy,us department of energy,US DEPARTMENT OF ENERGY,buildingamerica.gov,Federal Agency - Executive,Department of Energy,Golden,CO,United States
oak ridge national laboratory,oak ridge national laboratory,Oak Ridge National Laboratory,casl.gov|fueleconomy.gov|nccs.gov|ncrc.gov|ornl.gov|scidac.gov|sns.gov,Federal Agency - Executive,Department of Energy,Oak Ridge,TN,United States
thomas jefferson national accelerator facility,thomas jefferson national accelerator facility,Thomas Jefferson National Accelerator Facility,cebaf.gov,Federal Agency - Executive,Department of Energy,Newport News,VA,United States
department of energy - osti,department of energy - osti,Department of Energy - OSTI,cendi.gov,Federal Agency - Executive,Department of Energy,Oak Ridge,TN,United States
"us department of energy, office of the cio","us department of energy, office of the cio","US Department of Energy, Office of the CIO",doe.gov|energy.gov,Federal Agency - Executive,Department of Energy,Washington,DC,United States
nnsa,nnsa,NNSA,doeal.gov,Federal Agency - Executive,Department of Energy,Albuquerque,NM,United States
energy information administration,energy information administration,Energy Information Administration,eia.gov,Federal Agency - Executive,Department of Energy,Washington,DC,United States
department of energy bulding energy codes program,department of energy bulding energy codes program,Department of Energy Bulding Energy Codes Program,energycodes.gov,Federal Agency - Executive,Department of Energy,Richland,WA,United States
department of energy,department of energy,Department of Energy,energysaver.gov|energysavers.gov|unrpnet.gov,Federal Agency - Executive,Department of Energy,Washington,DC,United States
fermi national accelerator laboratory,fermi national accelerator laboratory,Fermi National Accelerator Laboratory,fnal.gov,Federal Agency - Executive,Department of Energy,Batavia,IL,United States
"mission support alliance, llc","mission support alliance, llc","Mission Support Alliance, LLC",hanford.gov|rl.gov,Federal Agency - Executive,Department of Energy,Richland,WA,United States
"us doe, eere","us doe, eere","US DOE, EERE",highperformancebuildings.gov,Federal Agency - Executive,Department of Energy,Golden,CO,United States
