business,crunchbaseLabel,quoraLabel,littlesisLabel
http://www.wikidata.org/entity/Q204284,,All-Nippon-Airways,
http://www.wikidata.org/entity/Q204296,,Air-New-Zealand,
http://www.wikidata.org/entity/Q204727,,,
http://www.wikidata.org/entity/Q205012,,Sberbank-of-Russia,348952
http://www.wikidata.org/entity/Q205378,zions-first-national-bank,Zions-Bancorporation,
http://www.wikidata.org/entity/Q205378,zions-bancorporation,Zions-Bancorporation,
http://www.wikidata.org/entity/Q206678,,,
http://www.wikidata.org/entity/Q206921,,Pfizer-company,48
http://www.wikidata.org/entity/Q206921,,Warner-Lambert,48
http://www.wikidata.org/entity/Q207770,,Pirelli,
http://www.wikidata.org/entity/Q207784,square-enix-north-america,Square-Enix-company,
http://www.wikidata.org/entity/Q207983,monsanto,Monsanto-company,
http://www.wikidata.org/entity/Q210047,,Petrobras,
http://www.wikidata.org/entity/Q210780,,Focus-Media,
http://www.wikidata.org/entity/Q211165,,Asiana-Airlines,
http://www.wikidata.org/entity/Q211237,,Computacenter,
http://www.wikidata.org/entity/Q211906,,Brøndby-IF,
http://www.wikidata.org/entity/Q211951,,ASOS-company,
http://www.wikidata.org/entity/Q212116,,Fanuc,
http://www.wikidata.org/entity/Q212235,american-international-group,American-International-Group,13
http://www.wikidata.org/entity/Q212322,glaxosmithkline,GlaxoSmithKline,119140
http://www.wikidata.org/entity/Q212322,gsk-venture-fund,GlaxoSmithKline,119140
http://www.wikidata.org/entity/Q212405,procter-and-gamble,Proctor-and-Gamble-company,
http://www.wikidata.org/entity/Q212599,accor,AccorHotels,99211
http://www.wikidata.org/entity/Q212599,accor,HotelTrivago,99211
http://www.wikidata.org/entity/Q212646,,Hoffmann-La-Roche-1,
http://www.wikidata.org/entity/Q212646,,Hoffmann-La-Roche-company,
http://www.wikidata.org/entity/Q212900,lehman-brothers,Lehman-Brothers-company,
http://www.wikidata.org/entity/Q213140,,Japan-Airlines,
http://www.wikidata.org/entity/Q213660,linkedin,LinkedIn-company,
http://www.wikidata.org/entity/Q214346,,,
http://www.wikidata.org/entity/Q214763,conocophillips,ConocoPhillips-company-1,5
http://www.wikidata.org/entity/Q215392,,,
http://www.wikidata.org/entity/Q215657,,KTM-Company,
http://www.wikidata.org/entity/Q215657,,KTM-Sportmotorcycle-AG,
http://www.wikidata.org/entity/Q217338,,Casio,
http://www.wikidata.org/entity/Q217493,paradox-interactive,Paradox-Interactive,
http://www.wikidata.org/entity/Q217583,berkshire-hathaway-corp,Berkshire-Hathaway-company,
http://www.wikidata.org/entity/Q218139,zodiac-aerospace,Zodiac-Aerospace,
http://www.wikidata.org/entity/Q218746,,,
http://www.wikidata.org/entity/Q219203,nec,NEC,
http://www.wikidata.org/entity/Q219203,nec,NEC-company,
http://www.wikidata.org/entity/Q219501,saab,Saab-Group,
http://www.wikidata.org/entity/Q219501,saab-ventures,Saab-Group,
http://www.wikidata.org/entity/Q219508,citigroup,Citigroup-company,8
http://www.wikidata.org/entity/Q219635,futureadvisor,,
http://www.wikidata.org/entity/Q220327,,,
http://www.wikidata.org/entity/Q220485,,Zoran-Corporation,
http://www.wikidata.org/entity/Q220874,,,
http://www.wikidata.org/entity/Q221062,,DuPont-company-1,
http://www.wikidata.org/entity/Q223127,logitech,Logitech,
http://www.wikidata.org/entity/Q224751,,,
http://www.wikidata.org/entity/Q225440,celestica,Celestica,
http://www.wikidata.org/entity/Q226889,,,
http://www.wikidata.org/entity/Q226897,zotac-international,,
http://www.wikidata.org/entity/Q229501,,,
http://www.wikidata.org/entity/Q229505,,,
http://www.wikidata.org/entity/Q230426,zurich-insurance-group,Zurich-Insurance-Group,
http://www.wikidata.org/entity/Q238181,,,
http://www.wikidata.org/entity/Q238765,atk,,
