business,grididLabel,opencorporatesLabel,crunchbaseLabel,quoraLabel,littlesisLabel
http://www.wikidata.org/entity/Q674138,,,,,
http://www.wikidata.org/entity/Q674552,,,,,
http://www.wikidata.org/entity/Q674575,grid.432104.0,dk/25313763,,Arla-Foods,
http://www.wikidata.org/entity/Q674582,,,pny-technologies,,
http://www.wikidata.org/entity/Q674750,,,,,
http://www.wikidata.org/entity/Q674911,grid.480263.b,,,,
http://www.wikidata.org/entity/Q675585,grid.453205.5,,moodys,Moody’s,
http://www.wikidata.org/entity/Q676029,,,,,
http://www.wikidata.org/entity/Q676230,,,,,
http://www.wikidata.org/entity/Q676919,,,,ThyssenKrupp-Nirosta,
http://www.wikidata.org/entity/Q677085,grid.467601.2,,messagelabs,Symantec-company,
http://www.wikidata.org/entity/Q677205,,,,,
http://www.wikidata.org/entity/Q677459,,,,,
http://www.wikidata.org/entity/Q677464,grid.478779.2,,dominion,,
http://www.wikidata.org/entity/Q677464,grid.478779.2,,dominion-gas,,
http://www.wikidata.org/entity/Q677464,grid.478779.2,,dominion-resources-inc,,
http://www.wikidata.org/entity/Q677488,grid.467616.4,,wellpoint,,
http://www.wikidata.org/entity/Q677981,,,,Armand-De-Brignac,
http://www.wikidata.org/entity/Q678109,,,,,
http://www.wikidata.org/entity/Q679027,,,,,
http://www.wikidata.org/entity/Q679172,,se/556181-8724,com-hem,,
http://www.wikidata.org/entity/Q679322,grid.454873.9,,saudi-aramco,Saudi-Aramco,
http://www.wikidata.org/entity/Q679402,,ch/122834,,,
http://www.wikidata.org/entity/Q679651,,,,,
http://www.wikidata.org/entity/Q679705,,,,,
http://www.wikidata.org/entity/Q679933,,gb/01804186,,Eidos-Montreal,
http://www.wikidata.org/entity/Q680406,,,,,
http://www.wikidata.org/entity/Q680662,,,,,
http://www.wikidata.org/entity/Q680776,,,,,
http://www.wikidata.org/entity/Q680841,grid.277695.8,,,,
http://www.wikidata.org/entity/Q681027,,,,,
http://www.wikidata.org/entity/Q681104,,,,Revox,
http://www.wikidata.org/entity/Q681157,,,,,
http://www.wikidata.org/entity/Q681316,,,,,
http://www.wikidata.org/entity/Q682047,,,supervalu,,
http://www.wikidata.org/entity/Q682144,grid.426253.4,,tomtom-international,TomTom,
http://www.wikidata.org/entity/Q682174,,jp/4180001022575,,,
http://www.wikidata.org/entity/Q682210,,,,Corsica-Ferries,
http://www.wikidata.org/entity/Q682759,,ie/602527,the-linde-group,,
http://www.wikidata.org/entity/Q683006,,,sodastream,,
http://www.wikidata.org/entity/Q683098,grid.498496.e,gb/01664812,,Kingfisher-Plc,
http://www.wikidata.org/entity/Q683170,grid.471147.0,,sc-johnson,S-C-Johnson-Son,
http://www.wikidata.org/entity/Q683200,,,,,
http://www.wikidata.org/entity/Q683265,,,,Uniprix-1,
http://www.wikidata.org/entity/Q683266,,,,,
http://www.wikidata.org/entity/Q683771,grid.467485.c,,kingston,Kingston-Technology,
http://www.wikidata.org/entity/Q683802,,,,,
http://www.wikidata.org/entity/Q684061,,,,,
http://www.wikidata.org/entity/Q684083,,,,Alltel,
http://www.wikidata.org/entity/Q685018,,gb/03757874,future-plc,,
http://www.wikidata.org/entity/Q685018,,gb/03757874,future-publishing,,
http://www.wikidata.org/entity/Q685395,,,,Bacardi,
http://www.wikidata.org/entity/Q685596,grid.483677.9,,,Tamedia,
http://www.wikidata.org/entity/Q685601,,,,,
http://www.wikidata.org/entity/Q685641,,,interxion,Interxion,
http://www.wikidata.org/entity/Q686030,grid.431992.4,se/556587-8054,alfa-laval,Alfa-Laval,
http://www.wikidata.org/entity/Q686182,grid.438054.e,,,,
http://www.wikidata.org/entity/Q686292,,,steinberg,,
http://www.wikidata.org/entity/Q687365,,,vitol,Vitol,
http://www.wikidata.org/entity/Q687508,,,trafigura,,
http://www.wikidata.org/entity/Q688082,,ch/384306,bata-shoe-organization,,
http://www.wikidata.org/entity/Q688619,grid.471236.5,jp/5011001005222,,,
http://www.wikidata.org/entity/Q688657,,,sanofi-pasteur,,
http://www.wikidata.org/entity/Q688668,,,,,
http://www.wikidata.org/entity/Q688936,,,,,
http://www.wikidata.org/entity/Q688941,grid.509980.d,,,,
http://www.wikidata.org/entity/Q689059,,,habitat-uk,,
http://www.wikidata.org/entity/Q689129,,,,,
http://www.wikidata.org/entity/Q689159,,,,,
http://www.wikidata.org/entity/Q689176,,,telelogic,Telelogic-company,
http://www.wikidata.org/entity/Q689240,,,,,
http://www.wikidata.org/entity/Q689695,,,,,
http://www.wikidata.org/entity/Q689750,grid.13790.3c,,,Voestalpine,
http://www.wikidata.org/entity/Q689791,,dk/28504799,,ISS-A-S,
http://www.wikidata.org/entity/Q689912,,,,,
http://www.wikidata.org/entity/Q690079,,,,Digital-Equipment-Corporation,
http://www.wikidata.org/entity/Q690374,grid.481792.1,,x-fab-semiconductor-foundries,,
http://www.wikidata.org/entity/Q690604,,,taser-international,Axon-Company,
http://www.wikidata.org/entity/Q690604,,,taser-international,TASER-International,
http://www.wikidata.org/entity/Q690604,,,taser-international,Taser-International-company,
http://www.wikidata.org/entity/Q690674,,,,,
http://www.wikidata.org/entity/Q691126,,,eds,EDS-Electronic-Data-Systems,
http://www.wikidata.org/entity/Q691126,,,western-wake-pediatrics-pa,EDS-Electronic-Data-Systems,
http://www.wikidata.org/entity/Q691126,,,eds,Electronic-Data-Systems-company,
http://www.wikidata.org/entity/Q691126,,,western-wake-pediatrics-pa,Electronic-Data-Systems-company,
http://www.wikidata.org/entity/Q691126,,,eds,Electronic-Data-Systems-EDS,
http://www.wikidata.org/entity/Q691126,,,western-wake-pediatrics-pa,Electronic-Data-Systems-EDS,
http://www.wikidata.org/entity/Q691418,,,,,
http://www.wikidata.org/entity/Q691592,grid.482764.b,,globalfoundries,GlobalFoundries,44217
http://www.wikidata.org/entity/Q691607,,,lombard-odier,Lombard-Odier,88217
http://www.wikidata.org/entity/Q692157,,,mpv,Experian,
http://www.wikidata.org/entity/Q692157,,,experian,Experian,
http://www.wikidata.org/entity/Q692179,,fr/562132670,,Interflora,
