business,twitterLabel,youtubeLabel,facebookLabel,instagramLabel
http://www.wikidata.org/entity/Q53227,SHARP_JP,UCv40TFB-wlYSAzFnkPGVI1w,SHARP.Japan,sharp_japan
http://www.wikidata.org/entity/Q53238,Hitachi_US,UC1uLQAHSG6VXSypf5ng-hCQ,hitachi.global,hitachi
http://www.wikidata.org/entity/Q53238,HitachiGlobal,UC1uLQAHSG6VXSypf5ng-hCQ,hitachi.global,hitachi
http://www.wikidata.org/entity/Q53238,Hitachi_US,UC1uLQAHSG6VXSypf5ng-hCQ,TWhitachi,hitachi
http://www.wikidata.org/entity/Q53238,HitachiGlobal,UC1uLQAHSG6VXSypf5ng-hCQ,TWhitachi,hitachi
http://www.wikidata.org/entity/Q53238,Hitachi_US,UC1uLQAHSG6VXSypf5ng-hCQ,hitachi.usa,hitachi
http://www.wikidata.org/entity/Q53238,HitachiGlobal,UC1uLQAHSG6VXSypf5ng-hCQ,hitachi.usa,hitachi
http://www.wikidata.org/entity/Q53247,panasonic,UCZgyCsZQLFF30TCs4uaZFKw,LUMIX.Taiwan,panasonic
http://www.wikidata.org/entity/Q53247,Panasonic_cp,UCZgyCsZQLFF30TCs4uaZFKw,LUMIX.Taiwan,panasonic
http://www.wikidata.org/entity/Q53247,PanasonicNA,UCZgyCsZQLFF30TCs4uaZFKw,LUMIX.Taiwan,panasonic
http://www.wikidata.org/entity/Q53247,PanasonicUK,UCZgyCsZQLFF30TCs4uaZFKw,LUMIX.Taiwan,panasonic
http://www.wikidata.org/entity/Q53247,panasonicde,UCZgyCsZQLFF30TCs4uaZFKw,LUMIX.Taiwan,panasonic
http://www.wikidata.org/entity/Q53247,panasonic,UCprhOSxPzPUJLSUZS2VJpiA,LUMIX.Taiwan,panasonic
http://www.wikidata.org/entity/Q53247,Panasonic_cp,UCprhOSxPzPUJLSUZS2VJpiA,LUMIX.Taiwan,panasonic
http://www.wikidata.org/entity/Q53247,PanasonicNA,UCprhOSxPzPUJLSUZS2VJpiA,LUMIX.Taiwan,panasonic
http://www.wikidata.org/entity/Q53247,PanasonicUK,UCprhOSxPzPUJLSUZS2VJpiA,LUMIX.Taiwan,panasonic
http://www.wikidata.org/entity/Q53247,panasonicde,UCprhOSxPzPUJLSUZS2VJpiA,LUMIX.Taiwan,panasonic
http://www.wikidata.org/entity/Q53247,panasonic,UCR2kmEM91_XXsnVAZyw06HQ,LUMIX.Taiwan,panasonic
http://www.wikidata.org/entity/Q53247,Panasonic_cp,UCR2kmEM91_XXsnVAZyw06HQ,LUMIX.Taiwan,panasonic
http://www.wikidata.org/entity/Q53247,PanasonicNA,UCR2kmEM91_XXsnVAZyw06HQ,LUMIX.Taiwan,panasonic
http://www.wikidata.org/entity/Q53247,PanasonicUK,UCR2kmEM91_XXsnVAZyw06HQ,LUMIX.Taiwan,panasonic
http://www.wikidata.org/entity/Q53247,panasonicde,UCR2kmEM91_XXsnVAZyw06HQ,LUMIX.Taiwan,panasonic
http://www.wikidata.org/entity/Q53247,panasonic,UCZgyCsZQLFF30TCs4uaZFKw,PanasonicUK,panasonic
